
                             _U:U1 PI: FOD-TWR
                  X              -1 N: 2_1    

                0.                 0.         
               10.E-03             9.60994E-03
               20.E-03            19.2198E-03 
               35.E-03            33.6345E-03 
               57.5E-03           55.2562E-03 
               87.5E-03           84.0847E-03 
              117.5E-03          112.913E-03  
              147.5E-03          141.74E-03   
              177.5E-03          170.567E-03  
              207.5E-03          199.393E-03  
              237.5E-03          228.219E-03  
              267.5E-03          257.044E-03  
              297.5E-03          285.869E-03  
              327.5E-03          314.693E-03  
              357.5E-03          343.517E-03  
              387.5E-03          372.341E-03  
              417.5E-03          401.164E-03  
              447.5E-03          429.986E-03  
              477.5E-03          458.809E-03  
              507.5E-03          487.631E-03  
              537.5E-03          516.452E-03  
              567.5E-03          545.273E-03  
              597.5E-03          574.094E-03  
              627.5E-03          602.915E-03  
              657.5E-03          631.735E-03  
              687.5E-03          660.555E-03  
              717.5E-03          689.375E-03  
              747.5E-03          718.194E-03  
              777.5E-03          747.014E-03  
              807.5E-03          775.833E-03  
              837.5E-03          804.652E-03  
              867.5E-03          833.47E-03   
              897.5E-03          862.289E-03  
              927.5E-03          891.107E-03  
              957.5E-03          919.926E-03  
              987.5E-03          948.744E-03  
                1.0175           977.562E-03  
                1.0475             1.00638    
                1.0775             1.0352     
                1.1075             1.06402    
                1.1375             1.09283    
                1.1675             1.12165    
                1.1975             1.15047    
                1.2275             1.17929    
                1.2575             1.2081     
                1.2875             1.23692    
                1.3175             1.26574    
                1.3475             1.29456    
                1.3775             1.32338    
                1.4075             1.35219    
                1.4375             1.38101    
                1.4675             1.40983    
                1.4975             1.43865    
                1.5275             1.46747    
                1.5575             1.49629    
                1.5875             1.52511    
                1.6175             1.55393    
                1.6475             1.58275    
                1.6775             1.61157    
                1.7075             1.64039    
                1.7375             1.66921    
                1.7675             1.69803    
                1.7975             1.72686    
                1.8275             1.75568    
                1.8575             1.78451    
                1.8875             1.81334    
                1.9175             1.84217    
                1.9475             1.87099    
                1.9775             1.89982    
                2.0075             1.92865    
                2.0375             1.95748    
                2.0675             1.98632    
                2.0975             2.01515    
                2.1275             2.04398    
                2.1575             2.07281    
                2.1875             2.10164    
                2.2175             2.13045    
                2.2475             2.15926    
                2.2775             2.18804    
                2.3075             2.21681    
                2.3375             2.24558    
                2.3675             2.27428    
                2.3975             2.30288    
                2.4275             2.33143    
                2.4575             2.35993    
                2.4875             2.38838    
                2.5175             2.41681    
                2.5475             2.44522    
                2.5775             2.47356    
                2.6075             2.50174    
                2.6375             2.52962    
                2.6675             2.55708    
                2.6975             2.58354    
                2.7275             2.60976    
                2.7575             2.63674    
                2.7875             2.66438    
                2.8175             2.69222    
                2.8475             2.72018    
                2.8775             2.74811    
                2.9075             2.77601    
                2.9375             2.80392    
                2.9675             2.83192    
                2.9975             2.86       
                3.0275             2.88815    
                3.0575             2.91635    
                3.0875             2.94458    
                3.1175             2.97283    
                3.1475             3.00107    
                3.1775             3.02931    
                3.2075             3.05756    
                3.2375             3.08582    
                3.2675             3.11408    
                3.2975             3.14233    
                3.3275             3.17057    
                3.3575             3.19881    
                3.3875             3.22705    
                3.4175             3.25527    
                3.4475             3.28349    
                3.4775             3.31169    
                3.5075             3.33986    
                3.5375             3.368      
                3.5675             3.39611    
                3.5975             3.42421    
                3.6275             3.45229    
                3.6575             3.48034    
                3.6875             3.50838    
                3.7175             3.53641    
                3.7475             3.56445    
                3.7775             3.59249    
                3.8075             3.62055    
                3.8375             3.64862    
                3.8675             3.6767     
                3.8975             3.70479    
                3.9275             3.73289    
                3.9575             3.76101    
                3.9875             3.78914    
                4.0175             3.81728    
                4.0475             3.84544    
                4.0775             3.8736     




