
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 16  

                0.                -0.         
               10.E-03           -11.3212E+03 
               20.E-03           -22.6423E+03 
               35.E-03           -39.6234E+03 
               57.5E-03          -65.0943E+03 
               87.5E-03          -99.0537E+03 
              117.5E-03         -133.011E+03  
              147.5E-03         -166.965E+03  
              177.5E-03         -200.917E+03  
              207.5E-03         -234.866E+03  
              237.5E-03         -268.812E+03  
              267.5E-03         -302.755E+03  
              297.5E-03         -336.694E+03  
              327.5E-03         -370.63E+03   
              357.5E-03         -404.561E+03  
              387.5E-03         -438.489E+03  
              417.5E-03         -472.412E+03  
              447.5E-03         -506.33E+03   
              477.5E-03         -540.244E+03  
              507.5E-03         -574.152E+03  
              537.5E-03         -608.056E+03  
              567.5E-03         -641.954E+03  
              597.5E-03         -675.846E+03  
              627.5E-03         -709.732E+03  
              657.5E-03         -743.613E+03  
              687.5E-03         -777.487E+03  
              717.5E-03         -811.354E+03  
              747.5E-03         -845.215E+03  
              777.5E-03         -879.068E+03  
              807.5E-03         -912.915E+03  
              837.5E-03         -946.754E+03  
              867.5E-03         -980.585E+03  
              897.5E-03           -1.01441E+06
              927.5E-03           -1.04822E+06
              957.5E-03           -1.08203E+06
              987.5E-03           -1.11583E+06
                1.0175            -1.14962E+06
                1.0475            -1.1834E+06 
                1.0775            -1.21717E+06
                1.1075            -1.25093E+06
                1.1375            -1.28468E+06
                1.1675            -1.31842E+06
                1.1975            -1.35215E+06
                1.2275            -1.38587E+06
                1.2575            -1.41958E+06
                1.2875            -1.45328E+06
                1.3175            -1.48697E+06
                1.3475            -1.52065E+06
                1.3775            -1.55431E+06
                1.4075            -1.58796E+06
                1.4375            -1.6216E+06 
                1.4675            -1.65523E+06
                1.4975            -1.68884E+06
                1.5275            -1.72244E+06
                1.5575            -1.75603E+06
                1.5875            -1.7896E+06 
                1.6175            -1.82316E+06
                1.6475            -1.85671E+06
                1.6775            -1.89024E+06
                1.7075            -1.92376E+06
                1.7375            -1.95726E+06
                1.7675            -1.99074E+06
                1.7975            -2.02421E+06
                1.8275            -2.05766E+06
                1.8575            -2.0911E+06 
                1.8875            -2.12452E+06
                1.9175            -2.15793E+06
                1.9475            -2.19131E+06
                1.9775            -2.22468E+06
                2.0075            -2.25803E+06
                2.0375            -2.29136E+06
                2.0675            -2.32468E+06
                2.0975            -2.35796E+06
                2.1275            -2.39121E+06
                2.1575            -2.42441E+06
                2.1875            -2.45759E+06
                2.2175            -2.49074E+06
                2.2475            -2.52387E+06
                2.2775            -2.55698E+06
                2.3075            -2.59005E+06
                2.3375            -2.62309E+06
                2.3675            -2.65599E+06
                2.3975            -2.68882E+06
                2.4275            -2.72144E+06
                2.4575            -2.75392E+06
                2.4875            -2.78632E+06
                2.5175            -2.81862E+06
                2.5475            -2.85088E+06
                2.5775            -2.88305E+06
                2.6075            -2.91507E+06
                2.6375            -2.9467E+06 
                2.6675            -2.97803E+06
                2.6975            -3.0088E+06 
                2.7275            -3.03937E+06
                2.7575            -3.06979E+06
                2.7875            -3.09986E+06
                2.8175            -3.12933E+06
                2.8475            -3.15818E+06
                2.8775            -3.18596E+06
                2.9075            -3.21353E+06
                2.9375            -3.24031E+06
                2.9675            -3.26581E+06
                2.9975            -3.29086E+06
                3.0275            -3.31476E+06
                3.0575            -3.33686E+06
                3.0875            -3.35691E+06
                3.1175            -3.37402E+06
                3.1475            -3.38336E+06
                3.1775            -3.38339E+06
                3.185             -3.3789E+06 
                3.19625           -3.36627E+06
                3.20047           -3.35509E+06
                3.20205           -3.34594E+06
                3.20442           -3.29727E+06
                3.2068            -3.27836E+06
                3.20917           -3.2602E+06 
                3.21273           -3.23726E+06
                3.21629           -3.21547E+06
                3.21985           -3.19417E+06
                3.22519           -3.16173E+06
                3.22719           -3.13817E+06
                3.22794           -3.13183E+06
                3.22907           -3.12606E+06
                3.23076           -3.1174E+06 
                3.23329           -3.1044E+06 
                3.23709           -3.08488E+06
                3.24279           -3.05557E+06
                3.25135           -3.01149E+06
                3.26418           -2.94516E+06
                3.28342           -2.84518E+06
                3.31228           -2.69419E+06
                3.34228           -2.53601E+06
                3.37228           -2.37662E+06
                3.40228           -2.21609E+06
                3.43228           -2.05449E+06
                3.46228           -1.89189E+06
                3.49228           -1.72837E+06
                3.52228           -1.56401E+06
                3.55228           -1.39889E+06




