
                             _RF:RF1 PI: FOUND
                  X           ATION-1 N: 16_1 

                0.                -0.         
               10.E-03           -11.3212E+03 
               20.E-03           -22.6423E+03 
               35.E-03           -39.6234E+03 
               57.5E-03          -65.0943E+03 
               87.5E-03          -99.0537E+03 
              117.5E-03         -133.011E+03  
              147.5E-03         -166.965E+03  
              177.5E-03         -200.917E+03  
              207.5E-03         -234.866E+03  
              237.5E-03         -268.812E+03  
              267.5E-03         -302.755E+03  
              297.5E-03         -336.694E+03  
              327.5E-03         -370.63E+03   
              357.5E-03         -404.561E+03  
              387.5E-03         -438.489E+03  
              417.5E-03         -472.412E+03  
              447.5E-03         -506.33E+03   
              477.5E-03         -540.244E+03  
              507.5E-03         -574.152E+03  
              537.5E-03         -608.056E+03  
              567.5E-03         -641.954E+03  
              597.5E-03         -675.846E+03  
              627.5E-03         -709.732E+03  
              657.5E-03         -743.613E+03  
              687.5E-03         -777.487E+03  
              717.5E-03         -811.354E+03  
              747.5E-03         -845.215E+03  
              777.5E-03         -879.068E+03  
              807.5E-03         -912.915E+03  
              837.5E-03         -946.754E+03  
              867.5E-03         -980.585E+03  
              897.5E-03           -1.01441E+06
              927.5E-03           -1.04822E+06
              957.5E-03           -1.08203E+06
              987.5E-03           -1.11583E+06
                1.0175            -1.14962E+06
                1.0475            -1.1834E+06 
                1.0775            -1.21717E+06
                1.1075            -1.25093E+06
                1.1375            -1.28468E+06
                1.1675            -1.31842E+06
                1.1975            -1.35215E+06
                1.2275            -1.38587E+06
                1.2575            -1.41956E+06
                1.2875            -1.45322E+06
                1.3175            -1.48686E+06
                1.3475            -1.52048E+06
                1.3775            -1.55404E+06
                1.4075            -1.5875E+06 
                1.4375            -1.62079E+06
                1.4675            -1.65397E+06
                1.4975            -1.68703E+06
                1.5275            -1.71989E+06
                1.5575            -1.75245E+06
                1.5875            -1.78472E+06
                1.6175            -1.8166E+06 
                1.6475            -1.84769E+06
                1.6775            -1.87823E+06
                1.7075            -1.90809E+06
                1.7375            -1.93634E+06
                1.7675            -1.9639E+06 
                1.7975            -1.9903E+06 
                1.8275            -2.01517E+06
                1.8575            -2.03801E+06
                1.8875            -2.0578E+06 
                1.9175            -2.07571E+06
                1.9475            -2.09187E+06
                1.9775            -2.10647E+06
                2.0075            -2.11958E+06
                2.0375            -2.13153E+06
                2.0675            -2.14201E+06
                2.0975            -2.1503E+06 
                2.1275            -2.15469E+06
                2.1575            -2.156E+06  
                2.1875            -2.15608E+06
                2.2175            -2.15407E+06
                2.2475            -2.15126E+06
                2.2775            -2.14786E+06
                2.3075            -2.14358E+06
                2.3375            -2.13804E+06
                2.3675            -2.13081E+06
                2.3975            -2.12027E+06
                2.4275            -2.10645E+06
                2.4575            -2.08947E+06
                2.4875            -2.06909E+06
                2.5175            -2.04972E+06
                2.5475            -2.03181E+06
                2.5775            -2.0155E+06 
                2.6075            -2.00084E+06
                2.6375            -1.98692E+06
                2.6675            -1.97364E+06
                2.6975            -1.96008E+06
                2.7275            -1.94655E+06
                2.7575            -1.93409E+06
                2.7875            -1.92282E+06
                2.8175            -1.91207E+06
                2.8475            -1.90215E+06
                2.8775            -1.89309E+06
                2.9075            -1.88496E+06
                2.9375            -1.87724E+06
                2.9675            -1.86926E+06
                2.9975            -1.86143E+06
                3.0275            -1.85397E+06
                3.0575            -1.84638E+06
                3.0875            -1.83871E+06
                3.1175            -1.83061E+06
                3.1475            -1.8225E+06 
                3.1775            -1.81431E+06
                3.2075            -1.80561E+06
                3.2375            -1.79668E+06
                3.2675            -1.78751E+06
                3.2975            -1.7781E+06 
                3.3275            -1.7686E+06 
                3.3575            -1.75883E+06
                3.3875            -1.74848E+06
                3.4175            -1.73739E+06
                3.4475            -1.72611E+06
                3.4775            -1.71463E+06
                3.5075            -1.70269E+06
                3.5375            -1.69043E+06
                3.5675            -1.67813E+06
                3.5975            -1.6659E+06 
                3.6275            -1.65394E+06
                3.6575            -1.64235E+06
                3.6875            -1.63121E+06
                3.7175            -1.62059E+06
                3.7475            -1.61049E+06
                3.7775            -1.60075E+06
                3.8075            -1.59152E+06
                3.8375            -1.58284E+06
                3.8675            -1.57466E+06
                3.8975            -1.56693E+06
                3.9275            -1.55961E+06
                3.9575            -1.55269E+06
                3.9875            -1.54613E+06
                4.0175            -1.53989E+06
                4.0475            -1.53394E+06
                4.0775            -1.52822E+06




