
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 17  

                0.                -0.         
               10.E-03            -2.65167E+03
               20.E-03            -5.30334E+03
               35.E-03            -9.28079E+03
               57.5E-03          -15.2469E+03 
               87.5E-03          -23.2015E+03 
              117.5E-03          -31.1559E+03 
              147.5E-03          -39.11E+03   
              177.5E-03          -47.0637E+03 
              207.5E-03          -55.017E+03  
              237.5E-03          -62.9698E+03 
              267.5E-03          -70.9222E+03 
              297.5E-03          -78.874E+03  
              327.5E-03          -86.8252E+03 
              357.5E-03          -94.7757E+03 
              387.5E-03         -102.726E+03  
              417.5E-03         -110.675E+03  
              447.5E-03         -118.623E+03  
              477.5E-03         -126.57E+03   
              507.5E-03         -134.517E+03  
              537.5E-03         -142.463E+03  
              567.5E-03         -150.407E+03  
              597.5E-03         -158.351E+03  
              627.5E-03         -166.293E+03  
              657.5E-03         -174.234E+03  
              687.5E-03         -182.174E+03  
              717.5E-03         -190.113E+03  
              747.5E-03         -198.051E+03  
              777.5E-03         -205.987E+03  
              807.5E-03         -213.921E+03  
              837.5E-03         -221.855E+03  
              867.5E-03         -229.786E+03  
              897.5E-03         -237.716E+03  
              927.5E-03         -245.645E+03  
              957.5E-03         -253.572E+03  
              987.5E-03         -261.497E+03  
                1.0175          -269.42E+03   
                1.0475          -277.341E+03  
                1.0775          -285.261E+03  
                1.1075          -293.178E+03  
                1.1375          -301.093E+03  
                1.1675          -309.007E+03  
                1.1975          -316.918E+03  
                1.2275          -324.825E+03  
                1.2575          -332.728E+03  
                1.2875          -340.623E+03  
                1.3175          -348.514E+03  
                1.3475          -356.402E+03  
                1.3775          -364.274E+03  
                1.4075          -372.122E+03  
                1.4375          -379.933E+03  
                1.4675          -387.716E+03  
                1.4975          -395.473E+03  
                1.5275          -403.184E+03  
                1.5575          -410.823E+03  
                1.5875          -418.396E+03  
                1.6175          -425.875E+03  
                1.6475          -433.171E+03  
                1.6775          -440.337E+03  
                1.7075          -447.345E+03  
                1.7375          -453.976E+03  
                1.7675          -460.443E+03  
                1.7975          -466.64E+03   
                1.8275          -472.477E+03  
                1.8575          -477.838E+03  
                1.8875          -482.485E+03  
                1.9175          -486.688E+03  
                1.9475          -490.482E+03  
                1.9775          -493.912E+03  
                2.0075          -496.989E+03  
                2.0375          -499.796E+03  
                2.0675          -502.257E+03  
                2.0975          -504.204E+03  
                2.1275          -505.236E+03  
                2.1575          -505.546E+03  
                2.1875          -505.566E+03  
                2.2175          -505.098E+03  
                2.2475          -504.441E+03  
                2.2775          -503.645E+03  
                2.3075          -502.642E+03  
                2.3375          -501.345E+03  
                2.3675          -499.651E+03  
                2.3975          -497.18E+03   
                2.4275          -493.939E+03  
                2.4575          -489.957E+03  
                2.4875          -485.176E+03  
                2.5175          -480.634E+03  
                2.5475          -476.433E+03  
                2.5775          -472.608E+03  
                2.6075          -469.172E+03  
                2.6375          -465.907E+03  
                2.6675          -462.794E+03  
                2.6975          -459.614E+03  
                2.7275          -456.44E+03   
                2.7575          -453.519E+03  
                2.7875          -450.877E+03  
                2.8175          -448.358E+03  
                2.8475          -446.033E+03  
                2.8775          -443.908E+03  
                2.9075          -442.004E+03  
                2.9375          -440.193E+03  
                2.9675          -438.325E+03  
                2.9975          -436.49E+03   
                3.0275          -434.742E+03  
                3.0575          -432.963E+03  
                3.0875          -431.165E+03  
                3.1175          -429.268E+03  
                3.1475          -427.368E+03  
                3.1775          -425.448E+03  
                3.2075          -423.408E+03  
                3.2375          -421.315E+03  
                3.2675          -419.166E+03  
                3.2975          -416.961E+03  
                3.3275          -414.734E+03  
                3.3575          -412.444E+03  
                3.3875          -410.018E+03  
                3.4175          -407.419E+03  
                3.4475          -404.776E+03  
                3.4775          -402.083E+03  
                3.5075          -399.285E+03  
                3.5375          -396.41E+03   
                3.5675          -393.527E+03  
                3.5975          -390.659E+03  
                3.6275          -387.858E+03  
                3.6575          -385.141E+03  
                3.6875          -382.529E+03  
                3.7175          -380.041E+03  
                3.7475          -377.672E+03  
                3.7775          -375.389E+03  
                3.8075          -373.227E+03  
                3.8375          -371.193E+03  
                3.8675          -369.275E+03  
                3.8975          -367.464E+03  
                3.9275          -365.749E+03  
                3.9575          -364.128E+03  
                3.9875          -362.592E+03  
                4.0175          -361.13E+03   
                4.0475          -359.737E+03  
                4.0775          -358.397E+03  




