
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 16  

                0.                -0.         
               10.E-03           -11.3212E+03 
               20.E-03           -22.6423E+03 
               35.E-03           -39.6234E+03 
               57.5E-03          -65.0943E+03 
               87.5E-03          -99.0537E+03 
              117.5E-03         -133.011E+03  
              147.5E-03         -166.965E+03  
              177.5E-03         -200.917E+03  
              207.5E-03         -234.866E+03  
              237.5E-03         -268.812E+03  
              267.5E-03         -302.755E+03  
              297.5E-03         -336.694E+03  
              327.5E-03         -370.63E+03   
              357.5E-03         -404.561E+03  
              387.5E-03         -438.489E+03  
              417.5E-03         -472.412E+03  
              447.5E-03         -506.33E+03   
              477.5E-03         -540.244E+03  
              507.5E-03         -574.152E+03  
              537.5E-03         -608.056E+03  
              567.5E-03         -641.954E+03  
              597.5E-03         -675.846E+03  
              627.5E-03         -709.732E+03  
              657.5E-03         -743.613E+03  
              687.5E-03         -777.487E+03  
              717.5E-03         -811.354E+03  
              747.5E-03         -845.215E+03  
              777.5E-03         -879.068E+03  
              807.5E-03         -912.915E+03  
              837.5E-03         -946.754E+03  
              867.5E-03         -980.585E+03  
              897.5E-03           -1.01441E+06
              927.5E-03           -1.04822E+06
              957.5E-03           -1.08203E+06
              987.5E-03           -1.11583E+06
                1.0175            -1.14962E+06
                1.0475            -1.1834E+06 
                1.0775            -1.21717E+06
                1.1075            -1.25093E+06
                1.1375            -1.28468E+06
                1.1675            -1.31842E+06
                1.1975            -1.35215E+06
                1.2275            -1.38587E+06
                1.2575            -1.41958E+06
                1.2875            -1.45328E+06
                1.3175            -1.48697E+06
                1.3475            -1.52065E+06
                1.3775            -1.55431E+06
                1.4075            -1.58796E+06
                1.4375            -1.6216E+06 
                1.4675            -1.65523E+06
                1.4975            -1.68884E+06
                1.5275            -1.72244E+06
                1.5575            -1.75603E+06
                1.5875            -1.7896E+06 
                1.6175            -1.82316E+06
                1.6475            -1.85671E+06
                1.6775            -1.89024E+06
                1.7075            -1.92376E+06
                1.7375            -1.95726E+06
                1.7675            -1.99074E+06
                1.7975            -2.02421E+06
                1.8275            -2.05766E+06
                1.8575            -2.0911E+06 
                1.8875            -2.12452E+06
                1.9175            -2.15793E+06
                1.9475            -2.19131E+06
                1.9775            -2.22468E+06
                2.0075            -2.25803E+06
                2.0375            -2.29136E+06
                2.0675            -2.32468E+06
                2.0975            -2.35797E+06
                2.1275            -2.39125E+06
                2.1575            -2.4245E+06 
                2.1875            -2.45773E+06
                2.2175            -2.49092E+06
                2.2475            -2.52408E+06
                2.2775            -2.55719E+06
                2.3075            -2.59028E+06
                2.3375            -2.62334E+06
                2.3675            -2.65638E+06
                2.3975            -2.6894E+06 
                2.4275            -2.72237E+06
                2.4575            -2.7553E+06 
                2.4875            -2.78808E+06
                2.5175            -2.82081E+06
                2.5475            -2.85327E+06
                2.5775            -2.88563E+06
                2.6075            -2.91789E+06
                2.6375            -2.95006E+06
                2.6675            -2.98218E+06
                2.6975            -3.01424E+06
                2.7275            -3.04616E+06
                2.7575            -3.07771E+06
                2.7875            -3.10898E+06
                2.8175            -3.13958E+06
                2.8475            -3.16991E+06
                2.8775            -3.20011E+06
                2.9075            -3.2301E+06 
                2.9375            -3.25946E+06
                2.9675            -3.28834E+06
                2.9975            -3.31622E+06
                3.0275            -3.34334E+06
                3.0575            -3.37021E+06
                3.0875            -3.39592E+06
                3.1175            -3.42054E+06
                3.1475            -3.44425E+06
                3.1775            -3.46637E+06
                3.2075            -3.48654E+06
                3.2375            -3.50366E+06
                3.2675            -3.51534E+06
                3.2975            -3.5123E+06 
                3.305             -3.50824E+06
                3.31625           -3.47427E+06
                3.31906           -3.45423E+06
                3.32188           -3.43902E+06
                3.32609           -3.42412E+06
                3.33242           -3.406E+06  
                3.34191           -3.38164E+06
                3.35615           -3.34932E+06
                3.37751           -3.3082E+06 
                3.40751           -3.23452E+06
                3.41501           -3.21441E+06
                3.42251           -3.18615E+06
                3.43001           -3.1786E+06 
                3.43751           -3.17105E+06
                3.44876           -3.15971E+06
                3.46563           -3.14268E+06
                3.49095           -3.11711E+06
                3.52095           -3.08675E+06
                3.55095           -3.05634E+06
                3.58095           -3.02587E+06
                3.61095           -2.99534E+06
                3.64095           -2.96476E+06
                3.67095           -2.93412E+06
                3.70095           -2.90343E+06
                3.73095           -2.87269E+06




