
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 16  

                0.                -0.         
               10.E-03           -11.3212E+03 
               20.E-03           -22.6423E+03 
               35.E-03           -39.6234E+03 
               57.5E-03          -65.0943E+03 
               87.5E-03          -99.0537E+03 
              117.5E-03         -133.011E+03  
              147.5E-03         -166.965E+03  
              177.5E-03         -200.917E+03  
              207.5E-03         -234.866E+03  
              237.5E-03         -268.812E+03  
              267.5E-03         -302.755E+03  
              297.5E-03         -336.694E+03  
              327.5E-03         -370.63E+03   
              357.5E-03         -404.561E+03  
              387.5E-03         -438.489E+03  
              417.5E-03         -472.412E+03  
              447.5E-03         -506.33E+03   
              477.5E-03         -540.244E+03  
              507.5E-03         -574.152E+03  
              537.5E-03         -608.056E+03  
              567.5E-03         -641.954E+03  
              597.5E-03         -675.846E+03  
              627.5E-03         -709.732E+03  
              657.5E-03         -743.613E+03  
              687.5E-03         -777.487E+03  
              717.5E-03         -811.354E+03  
              747.5E-03         -845.215E+03  
              777.5E-03         -879.068E+03  
              807.5E-03         -912.915E+03  
              837.5E-03         -946.754E+03  
              867.5E-03         -980.585E+03  
              897.5E-03           -1.01441E+06
              927.5E-03           -1.04822E+06
              957.5E-03           -1.08203E+06
              987.5E-03           -1.11583E+06
                1.0175            -1.14962E+06
                1.0475            -1.1834E+06 
                1.0775            -1.21717E+06
                1.1075            -1.25093E+06
                1.1375            -1.28468E+06
                1.1675            -1.31842E+06
                1.1975            -1.35215E+06
                1.2275            -1.38587E+06
                1.2575            -1.41958E+06
                1.2875            -1.45328E+06
                1.3175            -1.48697E+06
                1.3475            -1.52063E+06
                1.3775            -1.55428E+06
                1.4075            -1.58789E+06
                1.4375            -1.62148E+06
                1.4675            -1.65505E+06
                1.4975            -1.68858E+06
                1.5275            -1.72199E+06
                1.5575            -1.7553E+06 
                1.5875            -1.78842E+06
                1.6175            -1.82149E+06
                1.6475            -1.85439E+06
                1.6775            -1.8871E+06 
                1.7075            -1.91952E+06
                1.7375            -1.95159E+06
                1.7675            -1.98335E+06
                1.7975            -2.01439E+06
                1.8275            -2.04481E+06
                1.8575            -2.07482E+06
                1.8875            -2.10341E+06
                1.9175            -2.13104E+06
                1.9475            -2.15787E+06
                1.9775            -2.18352E+06
                2.0075            -2.20761E+06
                2.0375            -2.22889E+06
                2.0675            -2.24756E+06
                2.0975            -2.26407E+06
                2.1275            -2.27866E+06
                2.1575            -2.29186E+06
                2.1875            -2.30421E+06
                2.2175            -2.31475E+06
                2.2475            -2.32361E+06
                2.2775            -2.33001E+06
                2.3075            -2.33072E+06
                2.3375            -2.32826E+06
                2.3675            -2.32391E+06
                2.3975            -2.31657E+06
                2.4275            -2.30808E+06
                2.4575            -2.29811E+06
                2.4875            -2.28425E+06
                2.5175            -2.26486E+06
                2.5475            -2.24497E+06
                2.5775            -2.22278E+06
                2.6075            -2.20227E+06
                2.6375            -2.18009E+06
                2.6675            -2.16108E+06
                2.6975            -2.14411E+06
                2.7275            -2.12852E+06
                2.7575            -2.11327E+06
                2.7875            -2.0975E+06 
                2.8175            -2.08255E+06
                2.8475            -2.06885E+06
                2.8775            -2.05653E+06
                2.9075            -2.04572E+06
                2.9375            -2.03613E+06
                2.9675            -2.0276E+06 
                2.9975            -2.01979E+06
                3.0275            -2.01249E+06
                3.0575            -2.00573E+06
                3.0875            -1.99905E+06
                3.1175            -1.99142E+06
                3.1475            -1.98342E+06
                3.1775            -1.97506E+06
                3.2075            -1.96669E+06
                3.2375            -1.95829E+06
                3.2675            -1.94958E+06
                3.2975            -1.9404E+06 
                3.3275            -1.9308E+06 
                3.3575            -1.92048E+06
                3.3875            -1.90979E+06
                3.4175            -1.89852E+06
                3.4475            -1.88613E+06
                3.4775            -1.87337E+06
                3.5075            -1.86021E+06
                3.5375            -1.84666E+06
                3.5675            -1.83269E+06
                3.5975            -1.81812E+06
                3.6275            -1.80378E+06
                3.6575            -1.78981E+06
                3.6875            -1.77638E+06
                3.7175            -1.76365E+06
                3.7475            -1.75169E+06
                3.7775            -1.74045E+06
                3.8075            -1.72974E+06
                3.8375            -1.71975E+06
                3.8675            -1.7104E+06 
                3.8975            -1.70164E+06
                3.9275            -1.69342E+06
                3.9575            -1.68571E+06
                3.9875            -1.67847E+06
                4.0175            -1.67164E+06
                4.0475            -1.66518E+06
                4.0775            -1.65903E+06




