
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 16  

                0.                -0.         
               10.E-03           -11.3212E+03 
               20.E-03           -22.6423E+03 
               35.E-03           -39.6234E+03 
               57.5E-03          -65.0943E+03 
               87.5E-03          -99.0537E+03 
              117.5E-03         -133.011E+03  
              147.5E-03         -166.965E+03  
              177.5E-03         -200.917E+03  
              207.5E-03         -234.866E+03  
              237.5E-03         -268.812E+03  
              267.5E-03         -302.755E+03  
              297.5E-03         -336.694E+03  
              327.5E-03         -370.63E+03   
              357.5E-03         -404.561E+03  
              387.5E-03         -438.489E+03  
              417.5E-03         -472.412E+03  
              447.5E-03         -506.33E+03   
              477.5E-03         -540.244E+03  
              507.5E-03         -574.152E+03  
              537.5E-03         -608.056E+03  
              567.5E-03         -641.954E+03  
              597.5E-03         -675.846E+03  
              627.5E-03         -709.732E+03  
              657.5E-03         -743.613E+03  
              687.5E-03         -777.487E+03  
              717.5E-03         -811.354E+03  
              747.5E-03         -845.215E+03  
              777.5E-03         -879.068E+03  
              807.5E-03         -912.915E+03  
              837.5E-03         -946.754E+03  
              867.5E-03         -980.585E+03  
              897.5E-03           -1.01441E+06
              927.5E-03           -1.04822E+06
              957.5E-03           -1.08203E+06
              987.5E-03           -1.11583E+06
                1.0175            -1.14962E+06
                1.0475            -1.1834E+06 
                1.0775            -1.21717E+06
                1.1075            -1.25093E+06
                1.1375            -1.28468E+06
                1.1675            -1.31842E+06
                1.1975            -1.35215E+06
                1.2275            -1.38587E+06
                1.2575            -1.41958E+06
                1.2875            -1.45328E+06
                1.3175            -1.48697E+06
                1.3475            -1.52065E+06
                1.3775            -1.55431E+06
                1.4075            -1.58796E+06
                1.4375            -1.6216E+06 
                1.4675            -1.65523E+06
                1.4975            -1.68884E+06
                1.5275            -1.72244E+06
                1.5575            -1.75603E+06
                1.5875            -1.7896E+06 
                1.6175            -1.82316E+06
                1.6475            -1.85671E+06
                1.6775            -1.89024E+06
                1.7075            -1.92376E+06
                1.7375            -1.95726E+06
                1.7675            -1.99074E+06
                1.7975            -2.02421E+06
                1.8275            -2.05766E+06
                1.8575            -2.0911E+06 
                1.8875            -2.12451E+06
                1.9175            -2.15789E+06
                1.9475            -2.19123E+06
                1.9775            -2.22454E+06
                2.0075            -2.25783E+06
                2.0375            -2.29111E+06
                2.0675            -2.32436E+06
                2.0975            -2.35757E+06
                2.1275            -2.39067E+06
                2.1575            -2.4237E+06 
                2.1875            -2.45655E+06
                2.2175            -2.48924E+06
                2.2475            -2.52187E+06
                2.2775            -2.5544E+06 
                2.3075            -2.58689E+06
                2.3375            -2.61923E+06
                2.3675            -2.65125E+06
                2.3975            -2.68309E+06
                2.4275            -2.71443E+06
                2.4575            -2.74544E+06
                2.4875            -2.77633E+06
                2.5175            -2.80687E+06
                2.5475            -2.83677E+06
                2.5775            -2.86585E+06
                2.6075            -2.89439E+06
                2.6375            -2.92243E+06
                2.6675            -2.94932E+06
                2.6975            -2.97572E+06
                2.7275            -3.00151E+06
                2.7575            -3.0255E+06 
                2.7875            -3.04798E+06
                2.8175            -3.06854E+06
                2.8475            -3.08483E+06
                2.8775            -3.09649E+06
                2.9075            -3.10223E+06
                2.9375            -3.0966E+06 
                2.9675            -3.08542E+06
                2.975             -3.07934E+06
                2.98625           -3.06387E+06
                2.99047           -3.05253E+06
                2.9968            -2.99847E+06
                2.99838           -2.98552E+06
                2.99996           -2.97048E+06
                3.00233           -2.94924E+06
                3.00589           -2.9075E+06 
                3.01123           -2.8621E+06 
                3.01924           -2.83285E+06
                3.03126           -2.79264E+06
                3.04928           -2.75314E+06
                3.07631           -2.69639E+06
                3.10631           -2.65994E+06
                3.13631           -2.63793E+06
                3.16631           -2.62008E+06
                3.19631           -2.60457E+06
                3.22631           -2.58942E+06
                3.25631           -2.57492E+06
                3.28631           -2.55918E+06
                3.31631           -2.54354E+06
                3.34631           -2.527E+06  
                3.37631           -2.50605E+06
                3.40631           -2.4853E+06 
                3.43631           -2.4633E+06 
                3.46631           -2.44234E+06
                3.49631           -2.4229E+06 
                3.52631           -2.40569E+06
                3.55631           -2.39088E+06
                3.58631           -2.37743E+06
                3.61631           -2.36366E+06
                3.64631           -2.35114E+06
                3.67631           -2.33953E+06
                3.70631           -2.32853E+06




