
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 17  

                0.                -0.         
               10.E-03            -2.65167E+03
               20.E-03            -5.30334E+03
               35.E-03            -9.28079E+03
               57.5E-03          -15.2469E+03 
               87.5E-03          -23.2015E+03 
              117.5E-03          -31.1559E+03 
              147.5E-03          -39.11E+03   
              177.5E-03          -47.0637E+03 
              207.5E-03          -55.017E+03  
              237.5E-03          -62.9698E+03 
              267.5E-03          -70.9222E+03 
              297.5E-03          -78.874E+03  
              327.5E-03          -86.8252E+03 
              357.5E-03          -94.7757E+03 
              387.5E-03         -102.726E+03  
              417.5E-03         -110.675E+03  
              447.5E-03         -118.623E+03  
              477.5E-03         -126.57E+03   
              507.5E-03         -134.517E+03  
              537.5E-03         -142.463E+03  
              567.5E-03         -150.407E+03  
              597.5E-03         -158.351E+03  
              627.5E-03         -166.293E+03  
              657.5E-03         -174.234E+03  
              687.5E-03         -182.174E+03  
              717.5E-03         -190.113E+03  
              747.5E-03         -198.051E+03  
              777.5E-03         -205.987E+03  
              807.5E-03         -213.921E+03  
              837.5E-03         -221.855E+03  
              867.5E-03         -229.786E+03  
              897.5E-03         -237.716E+03  
              927.5E-03         -245.645E+03  
              957.5E-03         -253.572E+03  
              987.5E-03         -261.497E+03  
                1.0175          -269.42E+03   
                1.0475          -277.341E+03  
                1.0775          -285.261E+03  
                1.1075          -293.178E+03  
                1.1375          -301.093E+03  
                1.1675          -309.007E+03  
                1.1975          -316.918E+03  
                1.2275          -324.827E+03  
                1.2575          -332.734E+03  
                1.2875          -340.638E+03  
                1.3175          -348.54E+03   
                1.3475          -356.44E+03   
                1.3775          -364.337E+03  
                1.4075          -372.231E+03  
                1.4375          -380.123E+03  
                1.4675          -388.012E+03  
                1.4975          -395.898E+03  
                1.5275          -403.782E+03  
                1.5575          -411.663E+03  
                1.5875          -419.541E+03  
                1.6175          -427.415E+03  
                1.6475          -435.287E+03  
                1.6775          -443.156E+03  
                1.7075          -451.021E+03  
                1.7375          -458.883E+03  
                1.7675          -466.741E+03  
                1.7975          -474.591E+03  
                1.8275          -482.437E+03  
                1.8575          -490.272E+03  
                1.8875          -498.103E+03  
                1.9175          -505.93E+03   
                1.9475          -513.753E+03  
                1.9775          -521.57E+03   
                2.0075          -529.359E+03  
                2.0375          -537.131E+03  
                2.0675          -544.864E+03  
                2.0975          -552.562E+03  
                2.1275          -560.243E+03  
                2.1575          -567.906E+03  
                2.1875          -575.548E+03  
                2.2175          -583.145E+03  
                2.2475          -590.676E+03  
                2.2775          -598.146E+03  
                2.3075          -605.499E+03  
                2.3375          -612.813E+03  
                2.3675          -620.076E+03  
                2.3975          -627.186E+03  
                2.4275          -634.113E+03  
                2.4575          -640.917E+03  
                2.4875          -647.6E+03    
                2.5175          -654.023E+03  
                2.5475          -660.319E+03  
                2.5775          -666.417E+03  
                2.6075          -672.181E+03  
                2.6375          -677.573E+03  
                2.6675          -682.593E+03  
                2.6975          -686.66E+03   
                2.7275          -689.819E+03  
                2.7575          -691.887E+03  
                2.7875          -692.347E+03  
                2.8175          -692.365E+03  
                2.8475          -691.232E+03  
                2.8775          -686.531E+03  
                2.885           -684.393E+03  
                2.89625         -679.046E+03  
                2.90047         -673.439E+03  
                2.9068          -653.53E+03   
                2.91313         -645.789E+03  
                2.91945         -640.543E+03  
                2.92895         -634.414E+03  
                2.94318         -627.127E+03  
                2.96454         -619.359E+03  
                2.99454         -609.327E+03  
                3.02454         -601.799E+03  
                3.05454         -596.695E+03  
                3.08454         -591.929E+03  
                3.11454         -587.723E+03  
                3.14454         -584.265E+03  
                3.17454         -581.127E+03  
                3.20454         -577.955E+03  
                3.23454         -574.671E+03  
                3.26454         -570.675E+03  
                3.29454         -566.611E+03  
                3.32454         -562.466E+03  
                3.35454         -558.066E+03  
                3.38454         -553.315E+03  
                3.41454         -548.608E+03  
                3.44454         -544.09E+03   
                3.47454         -539.708E+03  
                3.50454         -535.431E+03  
                3.53454         -531.449E+03  
                3.56454         -527.576E+03  
                3.59454         -523.559E+03  
                3.62454         -519.483E+03  
                3.65454         -515.57E+03   
                3.68454         -511.974E+03  




