
                             _U:U1 PI: FOD-TWR
                  X               -1 N: 2     

                0.                 0.         
               10.E-03             9.60994E-03
               20.E-03            19.2198E-03 
               35.E-03            33.6345E-03 
               57.5E-03           55.2562E-03 
               87.5E-03           84.0847E-03 
              117.5E-03          112.913E-03  
              147.5E-03          141.74E-03   
              177.5E-03          170.567E-03  
              207.5E-03          199.393E-03  
              237.5E-03          228.219E-03  
              267.5E-03          257.044E-03  
              297.5E-03          285.869E-03  
              327.5E-03          314.693E-03  
              357.5E-03          343.517E-03  
              387.5E-03          372.341E-03  
              417.5E-03          401.164E-03  
              447.5E-03          429.986E-03  
              477.5E-03          458.809E-03  
              507.5E-03          487.631E-03  
              537.5E-03          516.452E-03  
              567.5E-03          545.273E-03  
              597.5E-03          574.094E-03  
              627.5E-03          602.915E-03  
              657.5E-03          631.735E-03  
              687.5E-03          660.555E-03  
              717.5E-03          689.375E-03  
              747.5E-03          718.194E-03  
              777.5E-03          747.014E-03  
              807.5E-03          775.833E-03  
              837.5E-03          804.652E-03  
              867.5E-03          833.47E-03   
              897.5E-03          862.289E-03  
              927.5E-03          891.107E-03  
              957.5E-03          919.926E-03  
              987.5E-03          948.744E-03  
                1.0175           977.562E-03  
                1.0475             1.00638    
                1.0775             1.0352     
                1.1075             1.06402    
                1.1375             1.09283    
                1.1675             1.12165    
                1.1975             1.15047    
                1.2275             1.17929    
                1.2575             1.2081     
                1.2875             1.23692    
                1.3175             1.26574    
                1.3475             1.29456    
                1.3775             1.32338    
                1.4075             1.35219    
                1.4375             1.38101    
                1.4675             1.40983    
                1.4975             1.43865    
                1.5275             1.46747    
                1.5575             1.49629    
                1.5875             1.52511    
                1.6175             1.55393    
                1.6475             1.58275    
                1.6775             1.61157    
                1.7075             1.6404     
                1.7375             1.66922    
                1.7675             1.69805    
                1.7975             1.72687    
                1.8275             1.7557     
                1.8575             1.78452    
                1.8875             1.81336    
                1.9175             1.84219    
                1.9475             1.87102    
                1.9775             1.89984    
                2.0075             1.92867    
                2.0375             1.95749    
                2.0675             1.98629    
                2.0975             2.01509    
                2.1275             2.04386    
                2.1575             2.07262    
                2.1875             2.10136    
                2.2175             2.13001    
                2.2475             2.15862    
                2.2775             2.18716    
                2.3075             2.21568    
                2.3375             2.24417    
                2.3675             2.27265    
                2.3975             2.3011     
                2.4275             2.32948    
                2.4575             2.35776    
                2.4875             2.38585    
                2.5175             2.41381    
                2.5475             2.44168    
                2.5775             2.46936    
                2.6075             2.49663    
                2.6375             2.52394    
                2.6675             2.55139    
                2.6975             2.57912    
                2.7275             2.60697    
                2.7575             2.63487    
                2.7875             2.6628     
                2.8175             2.69079    
                2.8475             2.7188     
                2.8775             2.74682    
                2.9075             2.77487    
                2.9375             2.80301    
                2.9675             2.8312     
                2.9975             2.85941    
                3.0275             2.88765    
                3.0575             2.91592    
                3.0875             2.9442     
                3.1175             2.97248    
                3.1475             3.00076    
                3.1775             3.02904    
                3.2075             3.05732    
                3.2375             3.08561    
                3.2675             3.11389    
                3.2975             3.14216    
                3.3275             3.17042    
                3.3575             3.19867    
                3.3875             3.22689    
                3.4175             3.25511    
                3.4475             3.28332    
                3.4775             3.31148    
                3.5075             3.33961    
                3.5375             3.36772    
                3.5675             3.39581    
                3.5975             3.42389    
                3.6275             3.45196    
                3.6575             3.48002    
                3.6875             3.50807    
                3.7175             3.53612    
                3.7475             3.56419    
                3.7775             3.59228    
                3.8075             3.62039    
                3.8375             3.6485     
                3.8675             3.67663    
                3.8975             3.70477    
                3.9275             3.73292    
                3.9575             3.76108    
                3.9875             3.78924    
                4.0175             3.81742    
                4.0475             3.84559    
                4.0775             3.87376    




