
                             _RF:RF1 PI: FOUND
                  X           ATION-1 N: 17_1 

                0.                -0.         
               10.E-03            -2.65167E+03
               20.E-03            -5.30334E+03
               35.E-03            -9.28079E+03
               57.5E-03          -15.2469E+03 
               87.5E-03          -23.2015E+03 
              117.5E-03          -31.1559E+03 
              147.5E-03          -39.11E+03   
              177.5E-03          -47.0637E+03 
              207.5E-03          -55.017E+03  
              237.5E-03          -62.9698E+03 
              267.5E-03          -70.9222E+03 
              297.5E-03          -78.874E+03  
              327.5E-03          -86.8252E+03 
              357.5E-03          -94.7757E+03 
              387.5E-03         -102.726E+03  
              417.5E-03         -110.675E+03  
              447.5E-03         -118.623E+03  
              477.5E-03         -126.57E+03   
              507.5E-03         -134.517E+03  
              537.5E-03         -142.463E+03  
              567.5E-03         -150.407E+03  
              597.5E-03         -158.351E+03  
              627.5E-03         -166.293E+03  
              657.5E-03         -174.234E+03  
              687.5E-03         -182.174E+03  
              717.5E-03         -190.113E+03  
              747.5E-03         -198.051E+03  
              777.5E-03         -205.987E+03  
              807.5E-03         -213.921E+03  
              837.5E-03         -221.855E+03  
              867.5E-03         -229.786E+03  
              897.5E-03         -237.716E+03  
              927.5E-03         -245.645E+03  
              957.5E-03         -253.572E+03  
              987.5E-03         -261.497E+03  
                1.0175          -269.42E+03   
                1.0475          -277.341E+03  
                1.0775          -285.261E+03  
                1.1075          -293.178E+03  
                1.1375          -301.093E+03  
                1.1675          -309.007E+03  
                1.1975          -316.918E+03  
                1.2275          -324.827E+03  
                1.2575          -332.734E+03  
                1.2875          -340.638E+03  
                1.3175          -348.54E+03   
                1.3475          -356.44E+03   
                1.3775          -364.337E+03  
                1.4075          -372.231E+03  
                1.4375          -380.123E+03  
                1.4675          -388.008E+03  
                1.4975          -395.889E+03  
                1.5275          -403.761E+03  
                1.5575          -411.629E+03  
                1.5875          -419.494E+03  
                1.6175          -427.354E+03  
                1.6475          -435.182E+03  
                1.6775          -442.992E+03  
                1.7075          -450.757E+03  
                1.7375          -458.504E+03  
                1.7675          -466.232E+03  
                1.7975          -473.919E+03  
                1.8275          -481.548E+03  
                1.8575          -489.116E+03  
                1.8875          -496.591E+03  
                1.9175          -504.009E+03  
                1.9475          -511.273E+03  
                1.9775          -518.373E+03  
                2.0075          -525.401E+03  
                2.0375          -532.176E+03  
                2.0675          -538.676E+03  
                2.0975          -545.015E+03  
                2.1275          -551.088E+03  
                2.1575          -556.905E+03  
                2.1875          -562.242E+03  
                2.2175          -566.784E+03  
                2.2475          -570.816E+03  
                2.2775          -574.246E+03  
                2.3075          -577.095E+03  
                2.3375          -579.724E+03  
                2.3675          -582.142E+03  
                2.3975          -584.182E+03  
                2.4275          -585.585E+03  
                2.4575          -585.885E+03  
                2.4875          -584.456E+03  
                2.5175          -582.082E+03  
                2.5475          -578.749E+03  
                2.5775          -574.121E+03  
                2.6075          -566.656E+03  
                2.6375          -559.295E+03  
                2.6675          -552.299E+03  
                2.6975          -546.901E+03  
                2.7275          -542.264E+03  
                2.7575          -537.698E+03  
                2.7875          -533.196E+03  
                2.8175          -529.056E+03  
                2.8475          -524.95E+03   
                2.8775          -520.838E+03  
                2.9075          -517.001E+03  
                2.9375          -513.848E+03  
                2.9675          -511.238E+03  
                2.9975          -508.753E+03  
                3.0275          -506.596E+03  
                3.0575          -504.68E+03   
                3.0875          -502.924E+03  
                3.1175          -501.119E+03  
                3.1475          -499.236E+03  
                3.1775          -497.424E+03  
                3.2075          -495.642E+03  
                3.2375          -493.866E+03  
                3.2675          -492.07E+03   
                3.2975          -490.13E+03   
                3.3275          -488.1E+03    
                3.3575          -485.97E+03   
                3.3875          -483.634E+03  
                3.4175          -481.212E+03  
                3.4475          -478.615E+03  
                3.4775          -475.645E+03  
                3.5075          -472.403E+03  
                3.5375          -469.013E+03  
                3.5675          -465.463E+03  
                3.5975          -461.889E+03  
                3.6275          -458.264E+03  
                3.6575          -454.637E+03  
                3.6875          -450.975E+03  
                3.7175          -447.431E+03  
                3.7475          -444.1E+03    
                3.7775          -441.004E+03  
                3.8075          -438.141E+03  
                3.8375          -435.454E+03  
                3.8675          -432.932E+03  
                3.8975          -430.6E+03    
                3.9275          -428.446E+03  
                3.9575          -426.44E+03   
                3.9875          -424.576E+03  
                4.0175          -422.822E+03  
                4.0475          -421.163E+03  
                4.0775          -419.601E+03  




