
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 17  

                0.                -0.         
               10.E-03            -2.65167E+03
               20.E-03            -5.30334E+03
               35.E-03            -9.28079E+03
               57.5E-03          -15.2469E+03 
               87.5E-03          -23.2015E+03 
              117.5E-03          -31.1559E+03 
              147.5E-03          -39.11E+03   
              177.5E-03          -47.0637E+03 
              207.5E-03          -55.017E+03  
              237.5E-03          -62.9698E+03 
              267.5E-03          -70.9222E+03 
              297.5E-03          -78.874E+03  
              327.5E-03          -86.8252E+03 
              357.5E-03          -94.7757E+03 
              387.5E-03         -102.726E+03  
              417.5E-03         -110.675E+03  
              447.5E-03         -118.623E+03  
              477.5E-03         -126.57E+03   
              507.5E-03         -134.517E+03  
              537.5E-03         -142.463E+03  
              567.5E-03         -150.407E+03  
              597.5E-03         -158.351E+03  
              627.5E-03         -166.293E+03  
              657.5E-03         -174.234E+03  
              687.5E-03         -182.174E+03  
              717.5E-03         -190.113E+03  
              747.5E-03         -198.051E+03  
              777.5E-03         -205.987E+03  
              807.5E-03         -213.921E+03  
              837.5E-03         -221.855E+03  
              867.5E-03         -229.786E+03  
              897.5E-03         -237.716E+03  
              927.5E-03         -245.645E+03  
              957.5E-03         -253.572E+03  
              987.5E-03         -261.497E+03  
                1.0175          -269.42E+03   
                1.0475          -277.341E+03  
                1.0775          -285.261E+03  
                1.1075          -293.178E+03  
                1.1375          -301.093E+03  
                1.1675          -309.007E+03  
                1.1975          -316.918E+03  
                1.2275          -324.827E+03  
                1.2575          -332.734E+03  
                1.2875          -340.638E+03  
                1.3175          -348.54E+03   
                1.3475          -356.44E+03   
                1.3775          -364.337E+03  
                1.4075          -372.231E+03  
                1.4375          -380.123E+03  
                1.4675          -388.012E+03  
                1.4975          -395.898E+03  
                1.5275          -403.782E+03  
                1.5575          -411.661E+03  
                1.5875          -419.535E+03  
                1.6175          -427.402E+03  
                1.6475          -435.261E+03  
                1.6775          -443.117E+03  
                1.7075          -450.969E+03  
                1.7375          -458.817E+03  
                1.7675          -466.634E+03  
                1.7975          -474.436E+03  
                1.8275          -482.192E+03  
                1.8575          -489.923E+03  
                1.8875          -497.64E+03   
                1.9175          -505.33E+03   
                1.9475          -512.974E+03  
                1.9775          -520.559E+03  
                2.0075          -528.071E+03  
                2.0375          -535.49E+03   
                2.0675          -542.867E+03  
                2.0975          -550.098E+03  
                2.1275          -557.15E+03   
                2.1575          -564.125E+03  
                2.1875          -570.89E+03   
                2.2175          -577.425E+03  
                2.2475          -583.764E+03  
                2.2775          -589.871E+03  
                2.3075          -595.703E+03  
                2.3375          -601.259E+03  
                2.3675          -606.049E+03  
                2.3975          -610.068E+03  
                2.4275          -613.495E+03  
                2.4575          -616.168E+03  
                2.4875          -618.332E+03  
                2.5175          -620.279E+03  
                2.5475          -621.915E+03  
                2.5775          -622.845E+03  
                2.6075          -622.492E+03  
                2.6375          -619.608E+03  
                2.6675          -613.935E+03  
                2.6975          -601.702E+03  
                2.7275          -588.511E+03  
                2.7575          -579.431E+03  
                2.7875          -573.388E+03  
                2.8175          -568.609E+03  
                2.8475          -564.633E+03  
                2.8775          -560.269E+03  
                2.9075          -555.545E+03  
                2.9375          -550.88E+03   
                2.9675          -546.843E+03  
                2.9975          -543.317E+03  
                3.0275          -540.437E+03  
                3.0575          -538.038E+03  
                3.0875          -535.961E+03  
                3.1175          -533.917E+03  
                3.1475          -531.844E+03  
                3.1775          -529.845E+03  
                3.2075          -527.899E+03  
                3.2375          -525.962E+03  
                3.2675          -524.029E+03  
                3.2975          -522.032E+03  
                3.3275          -520.012E+03  
                3.3575          -517.943E+03  
                3.3875          -515.845E+03  
                3.4175          -513.656E+03  
                3.4475          -511.346E+03  
                3.4775          -508.804E+03  
                3.5075          -506.02E+03   
                3.5375          -503.027E+03  
                3.5675          -499.739E+03  
                3.5975          -496.319E+03  
                3.6275          -492.845E+03  
                3.6575          -489.058E+03  
                3.6875          -485.296E+03  
                3.7175          -481.551E+03  
                3.7475          -477.917E+03  
                3.7775          -474.487E+03  
                3.8075          -471.249E+03  
                3.8375          -468.142E+03  
                3.8675          -465.217E+03  
                3.8975          -462.477E+03  
                3.9275          -459.959E+03  
                3.9575          -457.649E+03  
                3.9875          -455.521E+03  
                4.0175          -453.563E+03  
                4.0475          -451.756E+03  
                4.0775          -450.078E+03  




