
                             _RF:RF1 PI: ASSEM
                  X               BLY N: 1    

                0.                -0.         
               10.E-03           -11.8123E+03 
               20.E-03           -23.6242E+03 
               35.E-03           -41.3415E+03 
               57.5E-03          -67.9158E+03 
               87.5E-03         -103.345E+03  
              117.5E-03         -138.77E+03   
              147.5E-03         -174.191E+03  
              177.5E-03         -209.607E+03  
              207.5E-03         -245.018E+03  
              237.5E-03         -280.423E+03  
              267.5E-03         -315.822E+03  
              297.5E-03         -351.215E+03  
              327.5E-03         -386.6E+03    
              357.5E-03         -421.978E+03  
              387.5E-03         -457.349E+03  
              417.5E-03         -492.71E+03   
              447.5E-03         -528.064E+03  
              477.5E-03         -563.408E+03  
              507.5E-03         -598.742E+03  
              537.5E-03         -634.067E+03  
              567.5E-03         -669.381E+03  
              597.5E-03         -704.684E+03  
              627.5E-03         -739.976E+03  
              657.5E-03         -775.256E+03  
              687.5E-03         -810.523E+03  
              717.5E-03         -845.779E+03  
              747.5E-03         -881.02E+03   
              777.5E-03         -916.248E+03  
              807.5E-03         -951.463E+03  
              837.5E-03         -986.662E+03  
              867.5E-03           -1.02185E+06
              897.5E-03           -1.05702E+06
              927.5E-03           -1.09217E+06
              957.5E-03           -1.1273E+06 
              987.5E-03           -1.16242E+06
                1.0175            -1.19753E+06
                1.0475            -1.23261E+06
                1.0775            -1.26768E+06
                1.1075            -1.30272E+06
                1.1375            -1.33775E+06
                1.1675            -1.37276E+06
                1.1975            -1.40774E+06
                1.2275            -1.44271E+06
                1.2575            -1.47766E+06
                1.2875            -1.51258E+06
                1.3175            -1.54748E+06
                1.3475            -1.58236E+06
                1.3775            -1.61721E+06
                1.4075            -1.65204E+06
                1.4375            -1.68684E+06
                1.4675            -1.72162E+06
                1.4975            -1.75637E+06
                1.5275            -1.7911E+06 
                1.5575            -1.8258E+06 
                1.5875            -1.86047E+06
                1.6175            -1.89512E+06
                1.6475            -1.92973E+06
                1.6775            -1.96432E+06
                1.7075            -1.99888E+06
                1.7375            -2.0334E+06 
                1.7675            -2.0679E+06 
                1.7975            -2.10236E+06
                1.8275            -2.13679E+06
                1.8575            -2.17118E+06
                1.8875            -2.20555E+06
                1.9175            -2.23988E+06
                1.9475            -2.27417E+06
                1.9775            -2.30843E+06
                2.0075            -2.34265E+06
                2.0375            -2.3768E+06 
                2.0675            -2.4109E+06 
                2.0975            -2.44495E+06
                2.1275            -2.47896E+06
                2.1575            -2.51292E+06
                2.1875            -2.54684E+06
                2.2175            -2.58072E+06
                2.2475            -2.61454E+06
                2.2775            -2.64829E+06
                2.3075            -2.68199E+06
                2.3375            -2.71549E+06
                2.3675            -2.7488E+06 
                2.3975            -2.7819E+06 
                2.4275            -2.81483E+06
                2.4575            -2.84765E+06
                2.4875            -2.88039E+06
                2.5175            -2.91302E+06
                2.5475            -2.94547E+06
                2.5775            -2.97762E+06
                2.6075            -3.00954E+06
                2.6375            -3.0411E+06 
                2.6675            -3.07218E+06
                2.6975            -3.10279E+06
                2.7275            -3.1331E+06 
                2.7575            -3.16295E+06
                2.7875            -3.19226E+06
                2.8175            -3.22102E+06
                2.8475            -3.2489E+06 
                2.8775            -3.27549E+06
                2.9075            -3.30133E+06
                2.9375            -3.32621E+06
                2.9675            -3.3496E+06 
                2.9975            -3.37072E+06
                3.0275            -3.38904E+06
                3.0575            -3.40585E+06
                3.0875            -3.42035E+06
                3.1175            -3.43163E+06
                3.1475            -3.43695E+06
                3.155             -3.43704E+06
                3.16625           -3.42505E+06
                3.17047           -3.41585E+06
                3.17205           -3.40572E+06
                3.17264           -3.39457E+06
                3.17353           -3.37623E+06
                3.17487           -3.36415E+06
                3.17687           -3.34924E+06
                3.17887           -3.34244E+06
                3.18088           -3.33563E+06
                3.18388           -3.32542E+06
                3.18838           -3.31007E+06
                3.19514           -3.28699E+06
                3.20528           -3.25225E+06
                3.22048           -3.1999E+06 
                3.24329           -3.12077E+06
                3.27329           -3.01568E+06
                3.30329           -2.9095E+06 
                3.33329           -2.80232E+06
                3.36329           -2.69421E+06
                3.39329           -2.58523E+06
                3.42329           -2.47545E+06
                3.45329           -2.36491E+06
                3.48329           -2.25367E+06
                3.51329           -2.14177E+06
                3.54329           -2.02927E+06
                3.57329           -1.9162E+06 
                3.60329           -1.8026E+06 
                3.63329           -1.6885E+06 
                3.66329           -1.57396E+06
                3.69329           -1.45898E+06
                3.72329           -1.34362E+06
                3.75329           -1.22789E+06
                3.78329           -1.11183E+06
                3.81329         -995.458E+03  
                3.84329         -878.804E+03  




