
                             _RF:RF1 PI: ASSEM
                  X              BLY N: 1_1   

                0.                -0.         
               10.E-03           -11.8123E+03 
               20.E-03           -23.6242E+03 
               35.E-03           -41.3415E+03 
               57.5E-03          -67.9158E+03 
               87.5E-03         -103.345E+03  
              117.5E-03         -138.77E+03   
              147.5E-03         -174.191E+03  
              177.5E-03         -209.607E+03  
              207.5E-03         -245.018E+03  
              237.5E-03         -280.423E+03  
              267.5E-03         -315.822E+03  
              297.5E-03         -351.215E+03  
              327.5E-03         -386.6E+03    
              357.5E-03         -421.978E+03  
              387.5E-03         -457.349E+03  
              417.5E-03         -492.71E+03   
              447.5E-03         -528.064E+03  
              477.5E-03         -563.408E+03  
              507.5E-03         -598.742E+03  
              537.5E-03         -634.067E+03  
              567.5E-03         -669.381E+03  
              597.5E-03         -704.684E+03  
              627.5E-03         -739.976E+03  
              657.5E-03         -775.256E+03  
              687.5E-03         -810.523E+03  
              717.5E-03         -845.779E+03  
              747.5E-03         -881.02E+03   
              777.5E-03         -916.248E+03  
              807.5E-03         -951.463E+03  
              837.5E-03         -986.662E+03  
              867.5E-03           -1.02185E+06
              897.5E-03           -1.05702E+06
              927.5E-03           -1.09217E+06
              957.5E-03           -1.1273E+06 
              987.5E-03           -1.16242E+06
                1.0175            -1.19753E+06
                1.0475            -1.23261E+06
                1.0775            -1.26768E+06
                1.1075            -1.30272E+06
                1.1375            -1.33775E+06
                1.1675            -1.37276E+06
                1.1975            -1.40774E+06
                1.2275            -1.44271E+06
                1.2575            -1.47766E+06
                1.2875            -1.51258E+06
                1.3175            -1.54748E+06
                1.3475            -1.58236E+06
                1.3775            -1.61721E+06
                1.4075            -1.65204E+06
                1.4375            -1.68684E+06
                1.4675            -1.72162E+06
                1.4975            -1.75637E+06
                1.5275            -1.7911E+06 
                1.5575            -1.8258E+06 
                1.5875            -1.86047E+06
                1.6175            -1.89509E+06
                1.6475            -1.92967E+06
                1.6775            -1.9642E+06 
                1.7075            -1.99871E+06
                1.7375            -2.03318E+06
                1.7675            -2.06761E+06
                1.7975            -2.10199E+06
                1.8275            -2.13631E+06
                1.8575            -2.17047E+06
                1.8875            -2.20443E+06
                1.9175            -2.23824E+06
                1.9475            -2.27194E+06
                1.9775            -2.30556E+06
                2.0075            -2.33899E+06
                2.0375            -2.37222E+06
                2.0675            -2.40522E+06
                2.0975            -2.43784E+06
                2.1275            -2.47002E+06
                2.1575            -2.50192E+06
                2.1875            -2.53363E+06
                2.2175            -2.56484E+06
                2.2475            -2.59545E+06
                2.2775            -2.62514E+06
                2.3075            -2.65375E+06
                2.3375            -2.68186E+06
                2.3675            -2.70891E+06
                2.3975            -2.73445E+06
                2.4275            -2.75869E+06
                2.4575            -2.78191E+06
                2.4875            -2.80406E+06
                2.5175            -2.82514E+06
                2.5475            -2.84381E+06
                2.5775            -2.85961E+06
                2.6075            -2.86783E+06
                2.6375            -2.86782E+06
                2.6675            -2.85943E+06
                2.6975            -2.82452E+06
                2.7275            -2.75464E+06
                2.7575            -2.70408E+06
                2.7875            -2.67638E+06
                2.8175            -2.6622E+06 
                2.8475            -2.64713E+06
                2.8775            -2.62683E+06
                2.9075            -2.60541E+06
                2.9375            -2.57798E+06
                2.9675            -2.5488E+06 
                2.9975            -2.51669E+06
                3.0275            -2.48697E+06
                3.0575            -2.46348E+06
                3.0875            -2.4467E+06 
                3.1175            -2.43436E+06
                3.1475            -2.42499E+06
                3.1775            -2.4175E+06 
                3.2075            -2.41052E+06
                3.2375            -2.40368E+06
                3.2675            -2.39717E+06
                3.2975            -2.39099E+06
                3.3275            -2.38516E+06
                3.3575            -2.37919E+06
                3.3875            -2.37272E+06
                3.4175            -2.36545E+06
                3.4475            -2.35817E+06
                3.4775            -2.35059E+06
                3.5075            -2.34255E+06
                3.5375            -2.33434E+06
                3.5675            -2.32535E+06
                3.5975            -2.31524E+06
                3.6275            -2.30425E+06
                3.6575            -2.29287E+06
                3.6875            -2.28101E+06
                3.7175            -2.26803E+06
                3.7475            -2.25454E+06
                3.7775            -2.24101E+06
                3.8075            -2.22693E+06
                3.8375            -2.21111E+06
                3.8675            -2.19387E+06
                3.8975            -2.17654E+06
                3.9275            -2.15963E+06
                3.9575            -2.14358E+06
                3.9875            -2.12852E+06
                4.0175            -2.1141E+06 
                4.0475            -2.10058E+06
                4.0775            -2.08781E+06
                4.1075            -2.07559E+06
                4.1375            -2.06385E+06
                4.1675            -2.05242E+06




