
                             _RF:RF1 PI: ASSEM
                  X              BLY N: 1_1   

                0.                -0.         
               10.E-03           -11.8123E+03 
               20.E-03           -23.6242E+03 
               35.E-03           -41.3415E+03 
               57.5E-03          -67.9158E+03 
               87.5E-03         -103.345E+03  
              117.5E-03         -138.77E+03   
              147.5E-03         -174.191E+03  
              177.5E-03         -209.607E+03  
              207.5E-03         -245.018E+03  
              237.5E-03         -280.423E+03  
              267.5E-03         -315.822E+03  
              297.5E-03         -351.215E+03  
              327.5E-03         -386.6E+03    
              357.5E-03         -421.978E+03  
              387.5E-03         -457.349E+03  
              417.5E-03         -492.71E+03   
              447.5E-03         -528.064E+03  
              477.5E-03         -563.408E+03  
              507.5E-03         -598.742E+03  
              537.5E-03         -634.067E+03  
              567.5E-03         -669.381E+03  
              597.5E-03         -704.684E+03  
              627.5E-03         -739.976E+03  
              657.5E-03         -775.256E+03  
              687.5E-03         -810.523E+03  
              717.5E-03         -845.779E+03  
              747.5E-03         -881.02E+03   
              777.5E-03         -916.248E+03  
              807.5E-03         -951.463E+03  
              837.5E-03         -986.662E+03  
              867.5E-03           -1.02185E+06
              897.5E-03           -1.05702E+06
              927.5E-03           -1.09217E+06
              957.5E-03           -1.1273E+06 
              987.5E-03           -1.16242E+06
                1.0175            -1.19753E+06
                1.0475            -1.23261E+06
                1.0775            -1.26768E+06
                1.1075            -1.30272E+06
                1.1375            -1.33775E+06
                1.1675            -1.37276E+06
                1.1975            -1.40774E+06
                1.2275            -1.44271E+06
                1.2575            -1.47766E+06
                1.2875            -1.51258E+06
                1.3175            -1.54748E+06
                1.3475            -1.58236E+06
                1.3775            -1.61721E+06
                1.4075            -1.65204E+06
                1.4375            -1.68684E+06
                1.4675            -1.72162E+06
                1.4975            -1.75637E+06
                1.5275            -1.7911E+06 
                1.5575            -1.8258E+06 
                1.5875            -1.86047E+06
                1.6175            -1.89512E+06
                1.6475            -1.92973E+06
                1.6775            -1.96432E+06
                1.7075            -1.99888E+06
                1.7375            -2.0334E+06 
                1.7675            -2.0679E+06 
                1.7975            -2.10236E+06
                1.8275            -2.13679E+06
                1.8575            -2.17118E+06
                1.8875            -2.20555E+06
                1.9175            -2.23988E+06
                1.9475            -2.27417E+06
                1.9775            -2.30843E+06
                2.0075            -2.34265E+06
                2.0375            -2.37683E+06
                2.0675            -2.41098E+06
                2.0975            -2.44509E+06
                2.1275            -2.47913E+06
                2.1575            -2.51312E+06
                2.1875            -2.54704E+06
                2.2175            -2.58093E+06
                2.2475            -2.61476E+06
                2.2775            -2.64856E+06
                2.3075            -2.6823E+06 
                2.3375            -2.71601E+06
                2.3675            -2.74963E+06
                2.3975            -2.78319E+06
                2.4275            -2.81669E+06
                2.4575            -2.84997E+06
                2.4875            -2.88302E+06
                2.5175            -2.91589E+06
                2.5475            -2.94857E+06
                2.5775            -2.98114E+06
                2.6075            -3.01363E+06
                2.6375            -3.04599E+06
                2.6675            -3.07824E+06
                2.6975            -3.11011E+06
                2.7275            -3.14179E+06
                2.7575            -3.17313E+06
                2.7875            -3.20401E+06
                2.8175            -3.23433E+06
                2.8475            -3.26431E+06
                2.8775            -3.2938E+06 
                2.9075            -3.32276E+06
                2.9375            -3.35115E+06
                2.9675            -3.37867E+06
                2.9975            -3.40518E+06
                3.0275            -3.43038E+06
                3.0575            -3.4547E+06 
                3.0875            -3.47753E+06
                3.1175            -3.49915E+06
                3.1475            -3.51596E+06
                3.1775            -3.53105E+06
                3.2075            -3.54321E+06
                3.2375            -3.55176E+06
                3.2675            -3.5508E+06 
                3.275             -3.54311E+06
                3.27781           -3.51315E+06
                3.28063           -3.4961E+06 
                3.28344           -3.48181E+06
                3.28766           -3.46379E+06
                3.29398           -3.44173E+06
                3.30348           -3.41369E+06
                3.31771           -3.37916E+06
                3.33907           -3.33132E+06
                3.36907           -3.26267E+06
                3.37657           -3.24535E+06
                3.38782           -3.21944E+06
                3.4047            -3.17869E+06
                3.43001           -3.14139E+06
                3.45532           -3.10365E+06
                3.48063           -3.06577E+06
                3.51063           -3.02071E+06
                3.54063           -2.97548E+06
                3.57063           -2.93007E+06
                3.60063           -2.88449E+06
                3.63063           -2.83874E+06
                3.66063           -2.79283E+06
                3.69063           -2.74675E+06
                3.72063           -2.7005E+06 
                3.75063           -2.65409E+06
                3.78063           -2.60751E+06
                3.81063           -2.56076E+06
                3.84063           -2.51384E+06
                3.87063           -2.46675E+06
                3.90063           -2.41949E+06
                3.93063           -2.37205E+06
                3.96063           -2.32442E+06
                3.99063           -2.27662E+06
                4.02063           -2.22864E+06




