
                             _RF:RF1 PI: ASSEM
                  X               BLY N: 1    

                0.                -0.         
               10.E-03           -11.8123E+03 
               20.E-03           -23.6242E+03 
               35.E-03           -41.3415E+03 
               57.5E-03          -67.9158E+03 
               87.5E-03         -103.345E+03  
              117.5E-03         -138.77E+03   
              147.5E-03         -174.191E+03  
              177.5E-03         -209.607E+03  
              207.5E-03         -245.018E+03  
              237.5E-03         -280.423E+03  
              267.5E-03         -315.822E+03  
              297.5E-03         -351.215E+03  
              327.5E-03         -386.6E+03    
              357.5E-03         -421.978E+03  
              387.5E-03         -457.349E+03  
              417.5E-03         -492.71E+03   
              447.5E-03         -528.064E+03  
              477.5E-03         -563.408E+03  
              507.5E-03         -598.742E+03  
              537.5E-03         -634.067E+03  
              567.5E-03         -669.381E+03  
              597.5E-03         -704.684E+03  
              627.5E-03         -739.976E+03  
              657.5E-03         -775.256E+03  
              687.5E-03         -810.523E+03  
              717.5E-03         -845.779E+03  
              747.5E-03         -881.02E+03   
              777.5E-03         -916.248E+03  
              807.5E-03         -951.463E+03  
              837.5E-03         -986.662E+03  
              867.5E-03           -1.02185E+06
              897.5E-03           -1.05702E+06
              927.5E-03           -1.09217E+06
              957.5E-03           -1.1273E+06 
              987.5E-03           -1.16242E+06
                1.0175            -1.19753E+06
                1.0475            -1.23261E+06
                1.0775            -1.26768E+06
                1.1075            -1.30272E+06
                1.1375            -1.33775E+06
                1.1675            -1.37276E+06
                1.1975            -1.40774E+06
                1.2275            -1.44271E+06
                1.2575            -1.47766E+06
                1.2875            -1.51258E+06
                1.3175            -1.54748E+06
                1.3475            -1.58236E+06
                1.3775            -1.61721E+06
                1.4075            -1.65204E+06
                1.4375            -1.68684E+06
                1.4675            -1.72162E+06
                1.4975            -1.75637E+06
                1.5275            -1.7911E+06 
                1.5575            -1.8258E+06 
                1.5875            -1.86047E+06
                1.6175            -1.89512E+06
                1.6475            -1.92973E+06
                1.6775            -1.96432E+06
                1.7075            -1.99888E+06
                1.7375            -2.0334E+06 
                1.7675            -2.0679E+06 
                1.7975            -2.10236E+06
                1.8275            -2.13679E+06
                1.8575            -2.17118E+06
                1.8875            -2.20555E+06
                1.9175            -2.23988E+06
                1.9475            -2.27417E+06
                1.9775            -2.30843E+06
                2.0075            -2.34265E+06
                2.0375            -2.37683E+06
                2.0675            -2.41098E+06
                2.0975            -2.44509E+06
                2.1275            -2.47915E+06
                2.1575            -2.51318E+06
                2.1875            -2.54717E+06
                2.2175            -2.5811E+06 
                2.2475            -2.61497E+06
                2.2775            -2.64876E+06
                2.3075            -2.68251E+06
                2.3375            -2.71621E+06
                2.3675            -2.74987E+06
                2.3975            -2.78348E+06
                2.4275            -2.81703E+06
                2.4575            -2.85054E+06
                2.4875            -2.88395E+06
                2.5175            -2.91731E+06
                2.5475            -2.95057E+06
                2.5775            -2.98362E+06
                2.6075            -3.01638E+06
                2.6375            -3.04897E+06
                2.6675            -3.08138E+06
                2.6975            -3.11367E+06
                2.7275            -3.14587E+06
                2.7575            -3.17795E+06
                2.7875            -3.20991E+06
                2.8175            -3.24152E+06
                2.8475            -3.2729E+06 
                2.8775            -3.30395E+06
                2.9075            -3.33452E+06
                2.9375            -3.36451E+06
                2.9675            -3.39408E+06
                2.9975            -3.42314E+06
                3.0275            -3.45164E+06
                3.0575            -3.47951E+06
                3.0875            -3.50647E+06
                3.1175            -3.53243E+06
                3.1475            -3.55696E+06
                3.1775            -3.58042E+06
                3.2075            -3.60195E+06
                3.2375            -3.62217E+06
                3.2675            -3.63803E+06
                3.2975            -3.65017E+06
                3.3275            -3.65751E+06
                3.3575            -3.65785E+06
                3.365             -3.65418E+06
                3.36781           -3.651E+06  
                3.36887           -3.6479E+06 
                3.36926           -3.62398E+06
                3.36966           -3.61983E+06
                3.37005           -3.61837E+06
                3.37065           -3.6164E+06 
                3.37154           -3.61343E+06
                3.37287           -3.60898E+06
                3.37487           -3.60229E+06
                3.37788           -3.59225E+06
                3.38238           -3.57716E+06
                3.38914           -3.55448E+06
                3.39928           -3.52032E+06
                3.41448           -3.46876E+06
                3.43729           -3.39076E+06
                3.46729           -3.28699E+06
                3.49729           -3.18202E+06
                3.52729           -3.07592E+06
                3.55729           -2.96879E+06
                3.58729           -2.86069E+06
                3.61729           -2.75171E+06
                3.64729           -2.64191E+06
                3.67729           -2.53134E+06
                3.70729           -2.42005E+06
                3.73729           -2.3081E+06 
                3.76729           -2.19554E+06
                3.79729           -2.0824E+06 
                3.82729           -1.96872E+06
                3.85729           -1.85454E+06
                3.88729           -1.73991E+06




