
                             _U:U1 PI: MAIN-1 
                  X                N: 2_1     

                0.                 0.         
               10.E-03             9.56331E-03
               20.E-03            19.1265E-03 
               35.E-03            33.4713E-03 
               57.5E-03           54.9881E-03 
               87.5E-03           83.6766E-03 
              117.5E-03          112.365E-03  
              147.5E-03          141.052E-03  
              177.5E-03          169.739E-03  
              207.5E-03          198.425E-03  
              237.5E-03          227.111E-03  
              267.5E-03          255.797E-03  
              297.5E-03          284.482E-03  
              327.5E-03          313.166E-03  
              357.5E-03          341.85E-03   
              387.5E-03          370.534E-03  
              417.5E-03          399.218E-03  
              447.5E-03          427.901E-03  
              477.5E-03          456.584E-03  
              507.5E-03          485.266E-03  
              537.5E-03          513.948E-03  
              567.5E-03          542.63E-03   
              597.5E-03          571.312E-03  
              627.5E-03          599.994E-03  
              657.5E-03          628.675E-03  
              687.5E-03          657.356E-03  
              717.5E-03          686.037E-03  
              747.5E-03          714.718E-03  
              777.5E-03          743.399E-03  
              807.5E-03          772.08E-03   
              837.5E-03          800.76E-03   
              867.5E-03          829.441E-03  
              897.5E-03          858.122E-03  
              927.5E-03          886.802E-03  
              957.5E-03          915.483E-03  
              987.5E-03          944.164E-03  
                1.0175           972.844E-03  
                1.0475             1.00153    
                1.0775             1.03021    
                1.1075             1.05889    
                1.1375             1.08757    
                1.1675             1.11625    
                1.1975             1.14493    
                1.2275             1.17361    
                1.2575             1.2023     
                1.2875             1.23098    
                1.3175             1.25966    
                1.3475             1.28834    
                1.3775             1.31703    
                1.4075             1.34571    
                1.4375             1.3744     
                1.4675             1.40308    
                1.4975             1.43177    
                1.5275             1.46045    
                1.5575             1.48914    
                1.5875             1.51782    
                1.6175             1.54651    
                1.6475             1.5752     
                1.6775             1.60389    
                1.7075             1.63257    
                1.7375             1.66126    
                1.7675             1.68995    
                1.7975             1.71864    
                1.8275             1.74733    
                1.8575             1.77603    
                1.8875             1.80472    
                1.9175             1.83341    
                1.9475             1.86211    
                1.9775             1.8908     
                2.0075             1.9195     
                2.0375             1.94819    
                2.0675             1.97689    
                2.0975             2.00559    
                2.1275             2.03429    
                2.1575             2.06299    
                2.1875             2.09169    
                2.2175             2.12039    
                2.2475             2.14909    
                2.2775             2.1778     
                2.3075             2.2065     
                2.3375             2.2352     
                2.3675             2.26391    
                2.3975             2.29262    
                2.4275             2.32132    
                2.4575             2.35003    
                2.4875             2.37874    
                2.5175             2.40745    
                2.5475             2.43616    
                2.5775             2.46486    
                2.6075             2.49356    
                2.6375             2.52225    
                2.6675             2.55095    
                2.6975             2.57964    
                2.7275             2.60833    
                2.7575             2.63702    
                2.7875             2.66571    
                2.8175             2.69439    
                2.8475             2.72307    
                2.8775             2.75174    
                2.9075             2.7804     
                2.9375             2.80905    
                2.9675             2.83769    
                2.9975             2.86631    
                3.0275             2.89491    
                3.0575             2.92348    
                3.0875             2.95203    
                3.1175             2.98055    
                3.1475             3.00902    
                3.1775             3.03744    
                3.2075             3.06579    
                3.2375             3.09406    
                3.2675             3.12213    
                3.2975             3.14999    
                3.3275             3.17762    
                3.3575             3.2049     
                3.365              3.21146    
                3.36781            3.21509    
                3.36887            3.21711    
                3.36926            3.21214    
                3.36966            3.21092    
                3.37005            3.20951    
                3.37065            3.2076     
                3.37154            3.20473    
                3.37287            3.20042    
                3.37487            3.19397    
                3.37788            3.18428    
                3.38238            3.16975    
                3.38914            3.14797    
                3.39928            3.11528    
                3.41448            3.06625    
                3.43729            2.9927     
                3.46729            2.89595    
                3.49729            2.79919    
                3.52729            2.70243    
                3.55729            2.60568    
                3.58729            2.50892    
                3.61729            2.41216    
                3.64729            2.31541    
                3.67729            2.21866    
                3.70729            2.12191    
                3.73729            2.02516    
                3.76729            1.92842    
                3.79729            1.83168    
                3.82729            1.73494    
                3.85729            1.6382     
                3.88729            1.54146    




