
                             _U:U1 PI: TWR-1 N
                  X                : 9_1      

                0.                 0.         
               10.E-03             9.54315E-03
               20.E-03            19.0862E-03 
               35.E-03            33.4008E-03 
               57.5E-03           54.8725E-03 
               87.5E-03           83.5011E-03 
              117.5E-03          112.129E-03  
              147.5E-03          140.757E-03  
              177.5E-03          169.385E-03  
              207.5E-03          198.013E-03  
              237.5E-03          226.64E-03   
              267.5E-03          255.268E-03  
              297.5E-03          283.895E-03  
              327.5E-03          312.522E-03  
              357.5E-03          341.149E-03  
              387.5E-03          369.777E-03  
              417.5E-03          398.404E-03  
              447.5E-03          427.031E-03  
              477.5E-03          455.659E-03  
              507.5E-03          484.287E-03  
              537.5E-03          512.915E-03  
              567.5E-03          541.543E-03  
              597.5E-03          570.171E-03  
              627.5E-03          598.8E-03    
              657.5E-03          627.43E-03   
              687.5E-03          656.059E-03  
              717.5E-03          684.69E-03   
              747.5E-03          713.32E-03   
              777.5E-03          741.952E-03  
              807.5E-03          770.583E-03  
              837.5E-03          799.216E-03  
              867.5E-03          827.849E-03  
              897.5E-03          856.483E-03  
              927.5E-03          885.118E-03  
              957.5E-03          913.753E-03  
              987.5E-03          942.389E-03  
                1.0175           971.027E-03  
                1.0475           999.665E-03  
                1.0775             1.0283     
                1.1075             1.05694    
                1.1375             1.08559    
                1.1675             1.11423    
                1.1975             1.14287    
                1.2275             1.17152    
                1.2575             1.20016    
                1.2875             1.22881    
                1.3175             1.25746    
                1.3475             1.28611    
                1.3775             1.31476    
                1.4075             1.34341    
                1.4375             1.37207    
                1.4675             1.40072    
                1.4975             1.42938    
                1.5275             1.45804    
                1.5575             1.4867     
                1.5875             1.51536    
                1.6175             1.54403    
                1.6475             1.57269    
                1.6775             1.60136    
                1.7075             1.63003    
                1.7375             1.65871    
                1.7675             1.68738    
                1.7975             1.71606    
                1.8275             1.74474    
                1.8575             1.77343    
                1.8875             1.80211    
                1.9175             1.8308     
                1.9475             1.8595     
                1.9775             1.8882     
                2.0075             1.9169     
                2.0375             1.94561    
                2.0675             1.97434    
                2.0975             2.00307    
                2.1275             2.03182    
                2.1575             2.06058    
                2.1875             2.08935    
                2.2175             2.11813    
                2.2475             2.14694    
                2.2775             2.17578    
                2.3075             2.20462    
                2.3375             2.23349    
                2.3675             2.26241    
                2.3975             2.29133    
                2.4275             2.32028    
                2.4575             2.34923    
                2.4875             2.3782     
                2.5175             2.40724    
                2.5475             2.43632    
                2.5775             2.4654     
                2.6075             2.4945     
                2.6375             2.52364    
                2.6675             2.55283    
                2.6975             2.582      
                2.7275             2.61109    
                2.7575             2.64016    
                2.7875             2.66919    
                2.8175             2.69813    
                2.8475             2.72691    
                2.8775             2.75563    
                2.9075             2.7843     
                2.9375             2.81291    
                2.9675             2.84145    
                2.9975             2.86983    
                3.0275             2.89762    
                3.0575             2.92424    
                3.0875             2.95086    
                3.1175             2.97828    
                3.1475             3.00635    
                3.1775             3.03463    
                3.2075             3.06279    
                3.2375             3.09095    
                3.2675             3.11913    
                3.2975             3.14748    
                3.3275             3.17593    
                3.3575             3.20451    
                3.3875             3.2332     
                3.4175             3.26195    
                3.4475             3.29075    
                3.4775             3.31958    
                3.5075             3.34844    
                3.5375             3.37729    
                3.5675             3.40617    
                3.5975             3.43505    
                3.6275             3.46394    
                3.6575             3.49284    
                3.6875             3.52174    
                3.7175             3.55065    
                3.7475             3.57956    
                3.7775             3.60848    
                3.8075             3.63741    
                3.8375             3.66635    
                3.8675             3.69529    
                3.8975             3.72423    
                3.9275             3.75317    
                3.9575             3.78211    
                3.9875             3.81106    
                4.0175             3.84001    




