
                             _RF:RF1 PI: FOUND
                  X           ATION-1 N: 42_1 

                0.                -0.         
               10.E-03            -4.05205E+03
               20.E-03            -8.104E+03  
               35.E-03           -14.1817E+03 
               57.5E-03          -23.2977E+03 
               87.5E-03          -35.4514E+03 
              117.5E-03          -47.604E+03  
              147.5E-03          -59.7552E+03 
              177.5E-03          -71.9052E+03 
              207.5E-03          -84.0539E+03 
              237.5E-03          -96.2011E+03 
              267.5E-03         -108.347E+03  
              297.5E-03         -120.491E+03  
              327.5E-03         -132.634E+03  
              357.5E-03         -144.774E+03  
              387.5E-03         -156.914E+03  
              417.5E-03         -169.051E+03  
              447.5E-03         -181.187E+03  
              477.5E-03         -193.32E+03   
              507.5E-03         -205.452E+03  
              537.5E-03         -217.581E+03  
              567.5E-03         -229.709E+03  
              597.5E-03         -241.834E+03  
              627.5E-03         -253.957E+03  
              657.5E-03         -266.078E+03  
              687.5E-03         -278.197E+03  
              717.5E-03         -290.313E+03  
              747.5E-03         -302.426E+03  
              777.5E-03         -314.537E+03  
              807.5E-03         -326.646E+03  
              837.5E-03         -338.751E+03  
              867.5E-03         -350.854E+03  
              897.5E-03         -362.954E+03  
              927.5E-03         -375.052E+03  
              957.5E-03         -387.146E+03  
              987.5E-03         -399.237E+03  
                1.0175          -411.325E+03  
                1.0475          -423.41E+03   
                1.0775          -435.492E+03  
                1.1075          -447.57E+03   
                1.1375          -459.645E+03  
                1.1675          -471.717E+03  
                1.1975          -483.785E+03  
                1.2275          -495.849E+03  
                1.2575          -507.91E+03   
                1.2875          -519.967E+03  
                1.3175          -532.02E+03   
                1.3475          -544.069E+03  
                1.3775          -556.114E+03  
                1.4075          -568.155E+03  
                1.4375          -580.192E+03  
                1.4675          -592.225E+03  
                1.4975          -604.253E+03  
                1.5275          -616.277E+03  
                1.5575          -628.296E+03  
                1.5875          -640.311E+03  
                1.6175          -652.321E+03  
                1.6475          -664.327E+03  
                1.6775          -676.324E+03  
                1.7075          -688.312E+03  
                1.7375          -700.285E+03  
                1.7675          -712.252E+03  
                1.7975          -724.213E+03  
                1.8275          -736.161E+03  
                1.8575          -748.102E+03  
                1.8875          -760.012E+03  
                1.9175          -771.89E+03   
                1.9475          -783.714E+03  
                1.9775          -795.516E+03  
                2.0075          -807.273E+03  
                2.0375          -818.957E+03  
                2.0675          -830.603E+03  
                2.0975          -842.201E+03  
                2.1275          -853.712E+03  
                2.1575          -865.146E+03  
                2.1875          -876.471E+03  
                2.2175          -887.564E+03  
                2.2475          -898.485E+03  
                2.2775          -909.012E+03  
                2.3075          -919.225E+03  
                2.3375          -929.294E+03  
                2.3675          -939.066E+03  
                2.3975          -948.397E+03  
                2.4275          -957.247E+03  
                2.4575          -965.982E+03  
                2.4875          -974.271E+03  
                2.5175          -982.108E+03  
                2.5475          -989.354E+03  
                2.5775          -996.104E+03  
                2.6075            -1.00237E+06
                2.6375            -1.00811E+06
                2.6675            -1.01282E+06
                2.6975            -1.01597E+06
                2.7275            -1.01746E+06
                2.7575            -1.01785E+06
                2.7875            -1.01757E+06
                2.8175            -1.01672E+06
                2.8475            -1.01309E+06
                2.8775            -1.00725E+06
                2.9075          -997.754E+03  
                2.9375          -985.712E+03  
                2.9675          -973.551E+03  
                2.9975          -961.094E+03  
                3.0275          -950.358E+03  
                3.0575          -939.865E+03  
                3.0875          -929.349E+03  
                3.1175          -919.316E+03  
                3.1475          -909.724E+03  
                3.1775          -900.649E+03  
                3.2075          -892.281E+03  
                3.2375          -884.705E+03  
                3.2675          -877.494E+03  
                3.2975          -871.005E+03  
                3.3275          -865.372E+03  
                3.3575          -860.553E+03  
                3.3875          -856.255E+03  
                3.4175          -852.257E+03  
                3.4475          -848.611E+03  
                3.4775          -845.323E+03  
                3.5075          -842.192E+03  
                3.5375          -839.334E+03  
                3.5675          -836.37E+03   
                3.5975          -832.896E+03  
                3.6275          -829.456E+03  
                3.6575          -826.133E+03  
                3.6875          -823.002E+03  
                3.7175          -819.531E+03  
                3.7475          -816.062E+03  
                3.7775          -812.646E+03  
                3.8075          -809.248E+03  
                3.8375          -805.89E+03   
                3.8675          -802.572E+03  
                3.8975          -799.203E+03  
                3.9275          -795.724E+03  
                3.9575          -792.051E+03  
                3.9875          -788.163E+03  
                4.0175          -783.937E+03  




