
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 61  

                0.                -0.         
               10.E-03            -4.0521E+03 
               20.E-03            -8.10416E+03
               35.E-03           -14.1822E+03 
               57.5E-03          -23.2991E+03 
               87.5E-03          -35.4547E+03 
              117.5E-03          -47.6099E+03 
              147.5E-03          -59.7646E+03 
              177.5E-03          -71.9188E+03 
              207.5E-03          -84.0724E+03 
              237.5E-03          -96.2254E+03 
              267.5E-03         -108.378E+03  
              297.5E-03         -120.529E+03  
              327.5E-03         -132.68E+03   
              357.5E-03         -144.83E+03   
              387.5E-03         -156.978E+03  
              417.5E-03         -169.126E+03  
              447.5E-03         -181.273E+03  
              477.5E-03         -193.418E+03  
              507.5E-03         -205.563E+03  
              537.5E-03         -217.706E+03  
              567.5E-03         -229.848E+03  
              597.5E-03         -241.988E+03  
              627.5E-03         -254.127E+03  
              657.5E-03         -266.264E+03  
              687.5E-03         -278.4E+03    
              717.5E-03         -290.535E+03  
              747.5E-03         -302.667E+03  
              777.5E-03         -314.798E+03  
              807.5E-03         -326.927E+03  
              837.5E-03         -339.053E+03  
              867.5E-03         -351.178E+03  
              897.5E-03         -363.301E+03  
              927.5E-03         -375.422E+03  
              957.5E-03         -387.541E+03  
              987.5E-03         -399.657E+03  
                1.0175          -411.771E+03  
                1.0475          -423.882E+03  
                1.0775          -435.992E+03  
                1.1075          -448.098E+03  
                1.1375          -460.202E+03  
                1.1675          -472.303E+03  
                1.1975          -484.402E+03  
                1.2275          -496.497E+03  
                1.2575          -508.59E+03   
                1.2875          -520.68E+03   
                1.3175          -532.766E+03  
                1.3475          -544.85E+03   
                1.3775          -556.93E+03   
                1.4075          -569.007E+03  
                1.4375          -581.08E+03   
                1.4675          -593.15E+03   
                1.4975          -605.217E+03  
                1.5275          -617.279E+03  
                1.5575          -629.338E+03  
                1.5875          -641.394E+03  
                1.6175          -653.445E+03  
                1.6475          -665.492E+03  
                1.6775          -677.535E+03  
                1.7075          -689.575E+03  
                1.7375          -701.609E+03  
                1.7675          -713.64E+03   
                1.7975          -725.666E+03  
                1.8275          -737.687E+03  
                1.8575          -749.704E+03  
                1.8875          -761.716E+03  
                1.9175          -773.723E+03  
                1.9475          -785.725E+03  
                1.9775          -797.722E+03  
                2.0075          -809.71E+03   
                2.0375          -821.683E+03  
                2.0675          -833.646E+03  
                2.0975          -845.602E+03  
                2.1275          -857.553E+03  
                2.1575          -869.492E+03  
                2.1875          -881.42E+03   
                2.2175          -893.34E+03   
                2.2475          -905.241E+03  
                2.2775          -917.097E+03  
                2.3075          -928.899E+03  
                2.3375          -940.671E+03  
                2.3675          -952.418E+03  
                2.3975          -964.128E+03  
                2.4275          -975.76E+03   
                2.4575          -987.36E+03   
                2.4875          -998.918E+03  
                2.5175            -1.01038E+06
                2.5475            -1.02178E+06
                2.5775            -1.03312E+06
                2.6075            -1.04433E+06
                2.6375            -1.05532E+06
                2.6675            -1.06615E+06
                2.6975            -1.07679E+06
                2.7275            -1.0871E+06 
                2.7575            -1.09705E+06
                2.7875            -1.10684E+06
                2.8175            -1.11631E+06
                2.8475            -1.1255E+06 
                2.8775            -1.1344E+06 
                2.9075            -1.14284E+06
                2.9375            -1.151E+06  
                2.9675            -1.1588E+06 
                2.9975            -1.1662E+06 
                3.0275            -1.17311E+06
                3.0575            -1.17935E+06
                3.0875            -1.1852E+06 
                3.1175            -1.19032E+06
                3.1475            -1.19477E+06
                3.1775            -1.19764E+06
                3.2075            -1.19431E+06
                3.2375            -1.18233E+06
                3.245             -1.17785E+06
                3.25625           -1.16638E+06
                3.27312           -1.10645E+06
                3.29              -1.09737E+06
                3.30687           -1.08769E+06
                3.33219           -1.07682E+06
                3.36219           -1.06614E+06
                3.39219           -1.04709E+06
                3.42219           -1.02529E+06
                3.45219           -1.00597E+06
                3.48219         -993.496E+03  
                3.51219         -984.729E+03  
                3.54219         -977.58E+03   
                3.57219         -971.055E+03  
                3.60219         -964.163E+03  
                3.63219         -957.535E+03  
                3.66219         -951.075E+03  
                3.69219         -944.902E+03  
                3.72219         -938.824E+03  
                3.75219         -932.787E+03  
                3.78219         -926.743E+03  
                3.81219         -920.654E+03  
                3.84219         -914.468E+03  
                3.87219         -907.979E+03  
                3.90219         -901.744E+03  
                3.93219         -895.636E+03  
                3.96219         -889.635E+03  




