
                             _U:U1 PI: ASSEMBL
                  X               Y N: 1_1    

                0.                 0.         
               10.E-03            10.E-03     
               20.E-03            20.E-03     
               35.E-03            35.E-03     
               55.E-03            55.E-03     
               75.E-03            75.E-03     
               95.E-03            94.9999E-03 
              115.E-03           115.E-03     
              135.E-03           135.E-03     
              155.E-03           155.E-03     
              175.E-03           175.E-03     
              195.E-03           195.E-03     
              215.E-03           214.999E-03  
              235.E-03           234.999E-03  
              255.E-03           254.999E-03  
              275.E-03           274.999E-03  
              295.E-03           294.998E-03  
              315.E-03           314.998E-03  
              335.E-03           334.998E-03  
              355.E-03           354.997E-03  
              375.E-03           374.997E-03  
              395.E-03           394.996E-03  
              415.E-03           415.012E-03  
              435.E-03           435.088E-03  
              455.E-03           455.305E-03  
              475.E-03           475.783E-03  
              495.E-03           496.677E-03  
              515.E-03           517.651E-03  
              535.E-03           538.785E-03  
              555.E-03           559.94E-03   
              575.E-03           581.376E-03  
              595.E-03           603.54E-03   
              615.E-03           626.062E-03  
              635.E-03           648.838E-03  
              655.E-03           671.681E-03  
              675.E-03           694.533E-03  
              695.E-03           717.396E-03  
              715.E-03           740.267E-03  
              735.E-03           763.139E-03  
              755.E-03           786.01E-03   
              775.E-03           808.88E-03   
              795.E-03           831.751E-03  
              815.E-03           854.62E-03   
              835.E-03           877.489E-03  
              855.E-03           900.358E-03  
              875.E-03           923.226E-03  
              895.E-03           946.093E-03  
              915.E-03           968.959E-03  
              935.E-03           991.825E-03  
              955.E-03             1.01469    




