
                             _RF:RF1 PI: FOUND
                  X            ATION-1 N: 61  

                0.                -0.         
               10.E-03            -4.0521E+03 
               20.E-03            -8.10416E+03
               35.E-03           -14.1822E+03 
               57.5E-03          -23.2991E+03 
               87.5E-03          -35.4547E+03 
              117.5E-03          -47.6099E+03 
              147.5E-03          -59.7646E+03 
              177.5E-03          -71.9188E+03 
              207.5E-03          -84.0724E+03 
              237.5E-03          -96.2254E+03 
              267.5E-03         -108.378E+03  
              297.5E-03         -120.529E+03  
              327.5E-03         -132.68E+03   
              357.5E-03         -144.83E+03   
              387.5E-03         -156.978E+03  
              417.5E-03         -169.126E+03  
              447.5E-03         -181.273E+03  
              477.5E-03         -193.418E+03  
              507.5E-03         -205.563E+03  
              537.5E-03         -217.706E+03  
              567.5E-03         -229.848E+03  
              597.5E-03         -241.988E+03  
              627.5E-03         -254.127E+03  
              657.5E-03         -266.264E+03  
              687.5E-03         -278.4E+03    
              717.5E-03         -290.535E+03  
              747.5E-03         -302.667E+03  
              777.5E-03         -314.798E+03  
              807.5E-03         -326.927E+03  
              837.5E-03         -339.053E+03  
              867.5E-03         -351.178E+03  
              897.5E-03         -363.301E+03  
              927.5E-03         -375.422E+03  
              957.5E-03         -387.541E+03  
              987.5E-03         -399.657E+03  
                1.0175          -411.771E+03  
                1.0475          -423.882E+03  
                1.0775          -435.992E+03  
                1.1075          -448.098E+03  
                1.1375          -460.202E+03  
                1.1675          -472.303E+03  
                1.1975          -484.402E+03  
                1.2275          -496.497E+03  
                1.2575          -508.59E+03   
                1.2875          -520.68E+03   
                1.3175          -532.766E+03  
                1.3475          -544.85E+03   
                1.3775          -556.93E+03   
                1.4075          -569.007E+03  
                1.4375          -581.08E+03   
                1.4675          -593.15E+03   
                1.4975          -605.217E+03  
                1.5275          -617.279E+03  
                1.5575          -629.337E+03  
                1.5875          -641.386E+03  
                1.6175          -653.422E+03  
                1.6475          -665.452E+03  
                1.6775          -677.477E+03  
                1.7075          -689.49E+03   
                1.7375          -701.496E+03  
                1.7675          -713.466E+03  
                1.7975          -725.41E+03   
                1.8275          -737.298E+03  
                1.8575          -749.168E+03  
                1.8875          -760.966E+03  
                1.9175          -772.715E+03  
                1.9475          -784.418E+03  
                1.9775          -796.054E+03  
                2.0075          -807.608E+03  
                2.0375          -819.058E+03  
                2.0675          -830.295E+03  
                2.0975          -841.326E+03  
                2.1275          -851.957E+03  
                2.1575          -862.3E+03    
                2.1875          -872.474E+03  
                2.2175          -882.331E+03  
                2.2475          -891.563E+03  
                2.2775          -900.557E+03  
                2.3075          -909.261E+03  
                2.3375          -917.513E+03  
                2.3675          -925.248E+03  
                2.3975          -932.387E+03  
                2.4275          -938.996E+03  
                2.4575          -945.141E+03  
                2.4875          -950.522E+03  
                2.5175          -954.476E+03  
                2.5475          -957.148E+03  
                2.5775          -958.623E+03  
                2.6075          -959.669E+03  
                2.6375          -960.299E+03  
                2.6675          -959.349E+03  
                2.6975          -957.447E+03  
                2.7275          -954.126E+03  
                2.7575          -949.175E+03  
                2.7875          -942.529E+03  
                2.8175          -934.384E+03  
                2.8475          -925.494E+03  
                2.8775          -915.034E+03  
                2.9075          -903.102E+03  
                2.9375          -892.474E+03  
                2.9675          -882.892E+03  
                2.9975          -874.483E+03  
                3.0275          -866.713E+03  
                3.0575          -858.908E+03  
                3.0875          -851.735E+03  
                3.1175          -844.67E+03   
                3.1475          -838.179E+03  
                3.1775          -831.944E+03  
                3.2075          -826.14E+03   
                3.2375          -820.962E+03  
                3.2675          -816.399E+03  
                3.2975          -812.281E+03  
                3.3275          -808.548E+03  
                3.3575          -805.009E+03  
                3.3875          -801.743E+03  
                3.4175          -798.598E+03  
                3.4475          -795.498E+03  
                3.4775          -792.42E+03   
                3.5075          -789.194E+03  
                3.5375          -785.752E+03  
                3.5675          -782.062E+03  
                3.5975          -778.525E+03  
                3.6275          -775.104E+03  
                3.6575          -771.808E+03  
                3.6875          -768.6E+03    
                3.7175          -765.42E+03   
                3.7475          -762.3E+03    
                3.7775          -759.206E+03  
                3.8075          -756.01E+03   
                3.8375          -752.764E+03  
                3.8675          -749.308E+03  
                3.8975          -745.624E+03  
                3.9275          -741.814E+03  
                3.9575          -737.945E+03  
                3.9875          -734.022E+03  
                4.0175          -730.05E+03   




